DHSID,driving_traffic_count,service_traffic_count,water_traffic_count,all_traffic_count
ZM201800000001,0.0,0.0,0.0,0.0
ZM201800000002,3.0,0.0,0.0,3.0
ZM201800000003,1.0,0.0,2.0,3.0
ZM201800000004,11.0,2.0,0.0,13.0
ZM201800000005,0.0,0.0,0.0,0.0
ZM201800000006,7.0,8.0,0.0,15.0
ZM201800000007,1.0,2.0,0.0,3.0
ZM201800000008,0.0,0.0,0.0,0.0
ZM201800000009,2.0,0.0,0.0,2.0
ZM201800000010,8.0,0.0,0.0,8.0
ZM201800000011,7.0,0.0,0.0,7.0
ZM201800000012,0.0,0.0,0.0,0.0
ZM201800000013,0.0,0.0,0.0,0.0
ZM201800000014,0.0,0.0,0.0,0.0
ZM201800000015,5.0,0.0,0.0,5.0
ZM201800000016,0.0,0.0,0.0,0.0
ZM201800000017,0.0,0.0,0.0,0.0
ZM201800000018,0.0,0.0,0.0,0.0
ZM201800000020,1.0,40.0,1.0,42.0
ZM201800000021,0.0,0.0,0.0,0.0
ZM201800000022,0.0,2.0,0.0,2.0
ZM201800000023,0.0,0.0,0.0,0.0
ZM201800000024,1.0,0.0,0.0,1.0
ZM201800000025,0.0,0.0,0.0,0.0
ZM201800000026,0.0,1.0,8.0,9.0
ZM201800000027,0.0,0.0,0.0,0.0
ZM201800000028,0.0,0.0,0.0,0.0
ZM201800000029,52.0,27.0,0.0,79.0
ZM201800000030,0.0,0.0,0.0,0.0
ZM201800000031,2.0,0.0,0.0,2.0
ZM201800000032,0.0,0.0,0.0,0.0
ZM201800000034,0.0,1.0,0.0,1.0
ZM201800000035,6.0,17.0,0.0,23.0
ZM201800000036,0.0,0.0,0.0,0.0
ZM201800000037,0.0,0.0,0.0,0.0
ZM201800000038,0.0,0.0,0.0,0.0
ZM201800000039,0.0,0.0,0.0,0.0
ZM201800000040,0.0,0.0,0.0,0.0
ZM201800000041,0.0,0.0,0.0,0.0
ZM201800000042,0.0,0.0,0.0,0.0
ZM201800000043,13.0,19.0,0.0,32.0
ZM201800000044,3.0,12.0,0.0,15.0
ZM201800000045,0.0,0.0,0.0,0.0
ZM201800000046,5.0,0.0,0.0,5.0
ZM201800000047,0.0,0.0,0.0,0.0
ZM201800000048,0.0,0.0,0.0,0.0
ZM201800000049,0.0,4.0,1.0,5.0
ZM201800000050,0.0,27.0,0.0,27.0
ZM201800000051,4.0,0.0,0.0,4.0
ZM201800000052,0.0,0.0,0.0,0.0
ZM201800000053,0.0,0.0,0.0,0.0
ZM201800000054,1.0,7.0,0.0,8.0
ZM201800000055,0.0,5.0,1.0,6.0
ZM201800000056,6.0,6.0,0.0,12.0
ZM201800000057,10.0,10.0,0.0,20.0
ZM201800000058,0.0,1.0,0.0,1.0
ZM201800000059,0.0,0.0,0.0,0.0
ZM201800000060,0.0,0.0,0.0,0.0
ZM201800000061,0.0,0.0,0.0,0.0
ZM201800000062,0.0,0.0,0.0,0.0
ZM201800000063,0.0,0.0,0.0,0.0
ZM201800000064,0.0,0.0,0.0,0.0
ZM201800000066,0.0,0.0,0.0,0.0
ZM201800000067,0.0,0.0,0.0,0.0
ZM201800000068,2.0,9.0,0.0,11.0
ZM201800000069,0.0,0.0,0.0,0.0
ZM201800000070,0.0,0.0,0.0,0.0
ZM201800000071,0.0,0.0,0.0,0.0
ZM201800000072,0.0,0.0,0.0,0.0
ZM201800000073,0.0,0.0,0.0,0.0
ZM201800000074,0.0,0.0,0.0,0.0
ZM201800000075,0.0,0.0,0.0,0.0
ZM201800000076,6.0,5.0,0.0,11.0
ZM201800000077,0.0,0.0,0.0,0.0
ZM201800000078,4.0,0.0,0.0,4.0
ZM201800000079,0.0,3.0,0.0,3.0
ZM201800000080,0.0,0.0,0.0,0.0
ZM201800000081,7.0,8.0,2.0,17.0
ZM201800000082,0.0,0.0,0.0,0.0
ZM201800000083,0.0,1.0,0.0,1.0
ZM201800000084,0.0,0.0,0.0,0.0
ZM201800000085,0.0,0.0,0.0,0.0
ZM201800000086,0.0,0.0,0.0,0.0
ZM201800000087,0.0,0.0,0.0,0.0
ZM201800000088,1.0,3.0,0.0,4.0
ZM201800000089,0.0,0.0,0.0,0.0
ZM201800000090,0.0,0.0,0.0,0.0
ZM201800000091,0.0,0.0,0.0,0.0
ZM201800000092,0.0,0.0,0.0,0.0
ZM201800000093,0.0,0.0,0.0,0.0
ZM201800000094,0.0,0.0,0.0,0.0
ZM201800000095,0.0,0.0,0.0,0.0
ZM201800000096,0.0,0.0,0.0,0.0
ZM201800000097,0.0,0.0,0.0,0.0
ZM201800000098,0.0,0.0,0.0,0.0
ZM201800000099,0.0,0.0,0.0,0.0
ZM201800000100,1.0,1.0,0.0,2.0
ZM201800000101,0.0,1.0,0.0,1.0
ZM201800000102,0.0,9.0,0.0,9.0
ZM201800000103,0.0,0.0,0.0,0.0
ZM201800000104,1.0,0.0,0.0,1.0
ZM201800000105,0.0,0.0,0.0,0.0
ZM201800000106,0.0,0.0,0.0,0.0
ZM201800000107,0.0,6.0,0.0,6.0
ZM201800000108,0.0,0.0,0.0,0.0
ZM201800000109,0.0,3.0,0.0,3.0
ZM201800000110,0.0,0.0,0.0,0.0
ZM201800000111,0.0,0.0,0.0,0.0
ZM201800000112,1.0,3.0,1.0,5.0
ZM201800000113,0.0,0.0,0.0,0.0
ZM201800000114,0.0,0.0,0.0,0.0
ZM201800000115,0.0,0.0,0.0,0.0
ZM201800000116,4.0,0.0,0.0,4.0
ZM201800000117,0.0,0.0,0.0,0.0
ZM201800000118,0.0,0.0,0.0,0.0
ZM201800000119,2.0,2.0,0.0,4.0
ZM201800000120,0.0,0.0,0.0,0.0
ZM201800000121,0.0,0.0,0.0,0.0
ZM201800000122,0.0,0.0,0.0,0.0
ZM201800000123,0.0,0.0,0.0,0.0
ZM201800000124,0.0,0.0,0.0,0.0
ZM201800000125,0.0,0.0,2.0,2.0
ZM201800000126,0.0,2.0,0.0,2.0
ZM201800000127,0.0,0.0,0.0,0.0
ZM201800000128,0.0,0.0,0.0,0.0
ZM201800000129,0.0,0.0,0.0,0.0
ZM201800000130,0.0,0.0,0.0,0.0
ZM201800000131,2.0,15.0,0.0,17.0
ZM201800000132,0.0,0.0,0.0,0.0
ZM201800000133,0.0,0.0,0.0,0.0
ZM201800000134,0.0,0.0,0.0,0.0
ZM201800000135,4.0,0.0,0.0,4.0
ZM201800000136,0.0,0.0,0.0,0.0
ZM201800000137,0.0,27.0,0.0,27.0
ZM201800000138,8.0,0.0,0.0,8.0
ZM201800000139,0.0,0.0,0.0,0.0
ZM201800000140,0.0,0.0,0.0,0.0
ZM201800000141,2.0,16.0,0.0,18.0
ZM201800000142,0.0,0.0,0.0,0.0
ZM201800000143,0.0,0.0,0.0,0.0
ZM201800000144,0.0,0.0,0.0,0.0
ZM201800000145,1.0,18.0,0.0,19.0
ZM201800000146,0.0,0.0,0.0,0.0
ZM201800000147,0.0,0.0,0.0,0.0
ZM201800000148,107.0,164.0,0.0,271.0
ZM201800000149,9.0,19.0,0.0,28.0
ZM201800000150,1.0,1.0,0.0,2.0
ZM201800000151,0.0,0.0,0.0,0.0
ZM201800000152,0.0,0.0,0.0,0.0
ZM201800000153,0.0,0.0,0.0,0.0
ZM201800000154,7.0,8.0,0.0,15.0
ZM201800000155,0.0,0.0,0.0,0.0
ZM201800000156,0.0,0.0,0.0,0.0
ZM201800000157,0.0,0.0,0.0,0.0
ZM201800000158,0.0,0.0,0.0,0.0
ZM201800000159,1.0,0.0,0.0,1.0
ZM201800000160,0.0,0.0,0.0,0.0
ZM201800000161,0.0,0.0,0.0,0.0
ZM201800000162,14.0,6.0,0.0,20.0
ZM201800000163,0.0,0.0,0.0,0.0
ZM201800000164,0.0,0.0,0.0,0.0
ZM201800000165,0.0,0.0,0.0,0.0
ZM201800000166,0.0,0.0,0.0,0.0
ZM201800000167,0.0,0.0,0.0,0.0
ZM201800000168,0.0,0.0,0.0,0.0
ZM201800000169,0.0,1.0,0.0,1.0
ZM201800000170,13.0,0.0,0.0,13.0
ZM201800000171,0.0,0.0,0.0,0.0
ZM201800000172,0.0,0.0,0.0,0.0
ZM201800000173,9.0,6.0,1.0,16.0
ZM201800000174,1.0,4.0,0.0,5.0
ZM201800000175,0.0,0.0,0.0,0.0
ZM201800000176,0.0,0.0,0.0,0.0
ZM201800000177,0.0,1.0,0.0,1.0
ZM201800000178,0.0,0.0,0.0,0.0
ZM201800000179,0.0,0.0,0.0,0.0
ZM201800000180,0.0,0.0,0.0,0.0
ZM201800000181,0.0,0.0,0.0,0.0
ZM201800000182,7.0,4.0,0.0,11.0
ZM201800000183,0.0,0.0,0.0,0.0
ZM201800000184,0.0,0.0,0.0,0.0
ZM201800000185,0.0,0.0,0.0,0.0
ZM201800000186,0.0,0.0,0.0,0.0
ZM201800000187,0.0,0.0,0.0,0.0
ZM201800000188,10.0,25.0,0.0,35.0
ZM201800000189,5.0,3.0,0.0,8.0
ZM201800000190,0.0,0.0,0.0,0.0
ZM201800000191,5.0,1.0,0.0,6.0
ZM201800000192,11.0,2.0,0.0,13.0
ZM201800000193,5.0,2.0,0.0,7.0
ZM201800000194,0.0,0.0,0.0,0.0
ZM201800000195,4.0,5.0,0.0,9.0
ZM201800000196,2.0,0.0,0.0,2.0
ZM201800000197,7.0,0.0,0.0,7.0
ZM201800000198,0.0,0.0,0.0,0.0
ZM201800000199,0.0,0.0,0.0,0.0
ZM201800000200,0.0,5.0,0.0,5.0
ZM201800000201,0.0,1.0,0.0,1.0
ZM201800000202,0.0,0.0,0.0,0.0
ZM201800000203,0.0,0.0,0.0,0.0
ZM201800000204,0.0,0.0,0.0,0.0
ZM201800000205,6.0,3.0,0.0,9.0
ZM201800000206,0.0,0.0,0.0,0.0
ZM201800000207,0.0,2.0,0.0,2.0
ZM201800000208,0.0,0.0,0.0,0.0
ZM201800000209,1.0,1.0,0.0,2.0
ZM201800000210,0.0,0.0,0.0,0.0
ZM201800000211,1.0,0.0,0.0,1.0
ZM201800000212,0.0,0.0,0.0,0.0
ZM201800000213,0.0,0.0,0.0,0.0
ZM201800000214,5.0,0.0,0.0,5.0
ZM201800000215,0.0,0.0,0.0,0.0
ZM201800000216,0.0,1.0,0.0,1.0
ZM201800000217,0.0,0.0,0.0,0.0
ZM201800000218,0.0,0.0,0.0,0.0
ZM201800000219,0.0,0.0,0.0,0.0
ZM201800000220,0.0,0.0,0.0,0.0
ZM201800000221,0.0,0.0,1.0,1.0
ZM201800000222,0.0,0.0,0.0,0.0
ZM201800000223,0.0,0.0,0.0,0.0
ZM201800000224,0.0,0.0,0.0,0.0
ZM201800000225,0.0,0.0,0.0,0.0
ZM201800000226,0.0,0.0,0.0,0.0
ZM201800000227,9.0,20.0,0.0,29.0
ZM201800000228,0.0,0.0,0.0,0.0
ZM201800000229,11.0,4.0,0.0,15.0
ZM201800000230,0.0,0.0,0.0,0.0
ZM201800000231,13.0,20.0,0.0,33.0
ZM201800000232,7.0,0.0,0.0,7.0
ZM201800000233,0.0,0.0,0.0,0.0
ZM201800000234,0.0,1.0,0.0,1.0
ZM201800000235,0.0,0.0,0.0,0.0
ZM201800000237,12.0,4.0,0.0,16.0
ZM201800000238,29.0,4.0,0.0,33.0
ZM201800000239,0.0,0.0,0.0,0.0
ZM201800000240,0.0,0.0,0.0,0.0
ZM201800000241,0.0,1.0,0.0,1.0
ZM201800000242,0.0,0.0,0.0,0.0
ZM201800000243,0.0,0.0,0.0,0.0
ZM201800000244,0.0,0.0,0.0,0.0
ZM201800000245,0.0,0.0,0.0,0.0
ZM201800000246,0.0,0.0,0.0,0.0
ZM201800000247,0.0,0.0,0.0,0.0
ZM201800000248,0.0,0.0,0.0,0.0
ZM201800000249,6.0,2.0,0.0,8.0
ZM201800000250,9.0,0.0,0.0,9.0
ZM201800000251,0.0,9.0,1.0,10.0
ZM201800000252,0.0,0.0,0.0,0.0
ZM201800000253,0.0,0.0,0.0,0.0
ZM201800000254,17.0,6.0,0.0,23.0
ZM201800000255,9.0,0.0,0.0,9.0
ZM201800000256,3.0,0.0,0.0,3.0
ZM201800000257,0.0,0.0,0.0,0.0
ZM201800000258,0.0,0.0,0.0,0.0
ZM201800000259,0.0,0.0,0.0,0.0
ZM201800000260,3.0,0.0,0.0,3.0
ZM201800000261,0.0,0.0,0.0,0.0
ZM201800000262,0.0,0.0,0.0,0.0
ZM201800000263,0.0,0.0,0.0,0.0
ZM201800000264,0.0,0.0,0.0,0.0
ZM201800000265,0.0,0.0,0.0,0.0
ZM201800000266,5.0,0.0,0.0,5.0
ZM201800000267,0.0,0.0,0.0,0.0
ZM201800000268,34.0,19.0,0.0,53.0
ZM201800000269,0.0,0.0,0.0,0.0
ZM201800000270,0.0,0.0,0.0,0.0
ZM201800000271,0.0,0.0,0.0,0.0
ZM201800000272,0.0,0.0,0.0,0.0
ZM201800000273,0.0,0.0,0.0,0.0
ZM201800000274,0.0,0.0,0.0,0.0
ZM201800000275,0.0,1.0,0.0,1.0
ZM201800000276,10.0,2.0,0.0,12.0
ZM201800000277,7.0,0.0,0.0,7.0
ZM201800000278,0.0,0.0,0.0,0.0
ZM201800000279,2.0,0.0,0.0,2.0
ZM201800000280,0.0,0.0,0.0,0.0
ZM201800000282,103.0,116.0,0.0,219.0
ZM201800000283,0.0,0.0,0.0,0.0
ZM201800000284,10.0,17.0,0.0,27.0
ZM201800000285,0.0,0.0,0.0,0.0
ZM201800000286,0.0,0.0,0.0,0.0
ZM201800000287,6.0,1.0,0.0,7.0
ZM201800000288,0.0,0.0,0.0,0.0
ZM201800000289,0.0,0.0,0.0,0.0
ZM201800000290,0.0,0.0,0.0,0.0
ZM201800000291,0.0,0.0,1.0,1.0
ZM201800000292,2.0,0.0,0.0,2.0
ZM201800000294,3.0,0.0,0.0,3.0
ZM201800000295,0.0,0.0,0.0,0.0
ZM201800000296,0.0,0.0,0.0,0.0
ZM201800000297,0.0,0.0,0.0,0.0
ZM201800000298,0.0,0.0,0.0,0.0
ZM201800000299,0.0,0.0,0.0,0.0
ZM201800000300,0.0,0.0,0.0,0.0
ZM201800000301,0.0,0.0,0.0,0.0
ZM201800000302,11.0,3.0,0.0,14.0
ZM201800000303,0.0,0.0,0.0,0.0
ZM201800000304,16.0,5.0,0.0,21.0
ZM201800000305,0.0,0.0,0.0,0.0
ZM201800000306,0.0,0.0,0.0,0.0
ZM201800000307,0.0,0.0,0.0,0.0
ZM201800000308,0.0,0.0,0.0,0.0
ZM201800000309,1.0,6.0,1.0,8.0
ZM201800000310,0.0,0.0,1.0,1.0
ZM201800000311,2.0,0.0,0.0,2.0
ZM201800000312,0.0,0.0,0.0,0.0
ZM201800000313,0.0,0.0,0.0,0.0
ZM201800000314,1.0,2.0,0.0,3.0
ZM201800000315,6.0,32.0,0.0,38.0
ZM201800000316,4.0,2.0,0.0,6.0
ZM201800000317,2.0,15.0,0.0,17.0
ZM201800000318,0.0,0.0,0.0,0.0
ZM201800000319,0.0,0.0,0.0,0.0
ZM201800000320,0.0,0.0,0.0,0.0
ZM201800000321,0.0,24.0,0.0,24.0
ZM201800000322,0.0,0.0,0.0,0.0
ZM201800000323,0.0,0.0,0.0,0.0
ZM201800000324,0.0,0.0,0.0,0.0
ZM201800000325,2.0,0.0,0.0,2.0
ZM201800000326,0.0,5.0,0.0,5.0
ZM201800000327,0.0,0.0,0.0,0.0
ZM201800000328,0.0,1.0,0.0,1.0
ZM201800000329,0.0,5.0,0.0,5.0
ZM201800000330,2.0,3.0,0.0,5.0
ZM201800000331,0.0,0.0,0.0,0.0
ZM201800000332,0.0,0.0,0.0,0.0
ZM201800000333,0.0,0.0,0.0,0.0
ZM201800000334,0.0,0.0,0.0,0.0
ZM201800000335,9.0,6.0,0.0,15.0
ZM201800000336,0.0,3.0,0.0,3.0
ZM201800000337,4.0,0.0,2.0,6.0
ZM201800000338,0.0,0.0,0.0,0.0
ZM201800000339,0.0,0.0,0.0,0.0
ZM201800000340,1.0,0.0,0.0,1.0
ZM201800000341,0.0,0.0,0.0,0.0
ZM201800000342,0.0,0.0,0.0,0.0
ZM201800000343,0.0,0.0,0.0,0.0
ZM201800000344,0.0,0.0,0.0,0.0
ZM201800000345,0.0,0.0,0.0,0.0
ZM201800000346,0.0,4.0,0.0,4.0
ZM201800000347,0.0,0.0,0.0,0.0
ZM201800000348,41.0,11.0,0.0,52.0
ZM201800000349,0.0,0.0,0.0,0.0
ZM201800000350,3.0,0.0,0.0,3.0
ZM201800000351,0.0,0.0,0.0,0.0
ZM201800000352,3.0,3.0,0.0,6.0
ZM201800000353,2.0,2.0,0.0,4.0
ZM201800000354,0.0,0.0,0.0,0.0
ZM201800000355,0.0,0.0,0.0,0.0
ZM201800000356,0.0,0.0,0.0,0.0
ZM201800000357,0.0,0.0,1.0,1.0
ZM201800000358,0.0,0.0,0.0,0.0
ZM201800000359,0.0,0.0,0.0,0.0
ZM201800000362,0.0,0.0,0.0,0.0
ZM201800000363,2.0,0.0,0.0,2.0
ZM201800000364,0.0,0.0,0.0,0.0
ZM201800000365,20.0,30.0,0.0,50.0
ZM201800000366,0.0,0.0,0.0,0.0
ZM201800000367,0.0,0.0,0.0,0.0
ZM201800000368,0.0,0.0,0.0,0.0
ZM201800000369,0.0,0.0,0.0,0.0
ZM201800000370,0.0,0.0,0.0,0.0
ZM201800000371,0.0,0.0,0.0,0.0
ZM201800000372,0.0,0.0,0.0,0.0
ZM201800000373,0.0,0.0,0.0,0.0
ZM201800000374,0.0,0.0,0.0,0.0
ZM201800000375,0.0,0.0,0.0,0.0
ZM201800000376,0.0,0.0,2.0,2.0
ZM201800000377,10.0,0.0,0.0,10.0
ZM201800000378,10.0,7.0,0.0,17.0
ZM201800000379,4.0,0.0,0.0,4.0
ZM201800000380,2.0,9.0,0.0,11.0
ZM201800000381,0.0,0.0,0.0,0.0
ZM201800000382,0.0,0.0,0.0,0.0
ZM201800000383,0.0,0.0,0.0,0.0
ZM201800000384,1.0,0.0,0.0,1.0
ZM201800000385,0.0,0.0,0.0,0.0
ZM201800000386,0.0,0.0,0.0,0.0
ZM201800000387,0.0,0.0,0.0,0.0
ZM201800000388,0.0,0.0,0.0,0.0
ZM201800000389,0.0,1.0,0.0,1.0
ZM201800000390,0.0,0.0,0.0,0.0
ZM201800000391,3.0,0.0,0.0,3.0
ZM201800000392,6.0,2.0,0.0,8.0
ZM201800000393,0.0,0.0,0.0,0.0
ZM201800000394,0.0,0.0,0.0,0.0
ZM201800000395,0.0,0.0,0.0,0.0
ZM201800000396,5.0,0.0,0.0,5.0
ZM201800000397,0.0,0.0,0.0,0.0
ZM201800000398,0.0,0.0,0.0,0.0
ZM201800000399,0.0,0.0,0.0,0.0
ZM201800000400,0.0,1.0,0.0,1.0
ZM201800000401,0.0,26.0,0.0,26.0
ZM201800000402,0.0,0.0,0.0,0.0
ZM201800000403,0.0,0.0,0.0,0.0
ZM201800000404,0.0,0.0,0.0,0.0
ZM201800000405,0.0,0.0,0.0,0.0
ZM201800000406,9.0,9.0,1.0,19.0
ZM201800000407,19.0,17.0,0.0,36.0
ZM201800000408,3.0,0.0,0.0,3.0
ZM201800000409,2.0,0.0,0.0,2.0
ZM201800000410,4.0,1.0,0.0,5.0
ZM201800000411,0.0,0.0,0.0,0.0
ZM201800000412,0.0,0.0,0.0,0.0
ZM201800000413,0.0,0.0,0.0,0.0
ZM201800000414,0.0,0.0,0.0,0.0
ZM201800000415,0.0,1.0,0.0,1.0
ZM201800000416,0.0,0.0,0.0,0.0
ZM201800000417,0.0,0.0,0.0,0.0
ZM201800000418,0.0,1.0,0.0,1.0
ZM201800000419,0.0,1.0,0.0,1.0
ZM201800000420,0.0,0.0,0.0,0.0
ZM201800000421,0.0,1.0,0.0,1.0
ZM201800000422,0.0,0.0,0.0,0.0
ZM201800000423,0.0,0.0,0.0,0.0
ZM201800000424,0.0,0.0,0.0,0.0
ZM201800000425,2.0,0.0,0.0,2.0
ZM201800000426,0.0,0.0,0.0,0.0
ZM201800000427,5.0,1.0,0.0,6.0
ZM201800000428,0.0,0.0,0.0,0.0
ZM201800000429,0.0,0.0,0.0,0.0
ZM201800000430,0.0,0.0,0.0,0.0
ZM201800000431,1.0,0.0,0.0,1.0
ZM201800000432,0.0,0.0,0.0,0.0
ZM201800000433,0.0,0.0,0.0,0.0
ZM201800000434,0.0,0.0,0.0,0.0
ZM201800000435,0.0,0.0,0.0,0.0
ZM201800000436,0.0,2.0,0.0,2.0
ZM201800000437,0.0,0.0,0.0,0.0
ZM201800000438,0.0,0.0,0.0,0.0
ZM201800000439,13.0,9.0,0.0,22.0
