DHSID,air_transport_count,ground_transport_count,water_transport_count,all_transport_count
PH201700000527,0.0,1.0,0.0,1.0
PH201700000528,0.0,0.0,1.0,1.0
PH201700000529,0.0,0.0,0.0,0.0
PH201700000530,0.0,1.0,0.0,1.0
PH201700000531,0.0,0.0,0.0,0.0
PH201700000532,0.0,0.0,0.0,0.0
PH201700000533,0.0,2.0,0.0,2.0
PH201700000534,0.0,13.0,0.0,13.0
PH201700000535,0.0,0.0,0.0,0.0
PH201700000536,0.0,8.0,0.0,8.0
PH201700000537,1.0,1.0,0.0,2.0
PH201700000538,0.0,0.0,0.0,0.0
PH201700000539,0.0,0.0,0.0,0.0
PH201700000540,1.0,0.0,0.0,1.0
PH201700000541,0.0,1.0,0.0,1.0
PH201700000542,1.0,6.0,0.0,7.0
PH201700000543,0.0,1.0,0.0,1.0
PH201700000544,16.0,15.0,0.0,31.0
PH201700000545,2.0,16.0,0.0,18.0
PH201700000546,1.0,10.0,0.0,11.0
PH201700000547,0.0,3.0,0.0,3.0
PH201700000548,32.0,21.0,0.0,53.0
PH201700000549,5.0,7.0,0.0,12.0
PH201700000550,1.0,5.0,0.0,6.0
PH201700000551,1.0,0.0,0.0,1.0
PH201700000552,0.0,0.0,0.0,0.0
PH201700000553,1.0,0.0,0.0,1.0
PH201700000554,0.0,1.0,0.0,1.0
PH201700000555,0.0,1.0,0.0,1.0
PH201700000556,5.0,0.0,0.0,5.0
PH201700000557,0.0,0.0,0.0,0.0
PH201700000558,3.0,37.0,0.0,40.0
PH201700000559,0.0,1.0,0.0,1.0
PH201700000560,0.0,0.0,0.0,0.0
PH201700000561,7.0,48.0,0.0,55.0
PH201700000562,1.0,0.0,0.0,1.0
PH201700000563,0.0,0.0,0.0,0.0
PH201700000564,0.0,1.0,0.0,1.0
PH201700000565,1.0,12.0,0.0,13.0
PH201700000566,0.0,12.0,0.0,12.0
PH201700000567,0.0,0.0,0.0,0.0
PH201700000568,1.0,4.0,0.0,5.0
PH201700000569,1.0,2.0,0.0,3.0
PH201700000570,0.0,4.0,0.0,4.0
PH201700000571,0.0,0.0,0.0,0.0
PH201700000572,1.0,4.0,0.0,5.0
PH201700000573,0.0,12.0,0.0,12.0
PH201700000574,0.0,7.0,0.0,7.0
PH201700000575,0.0,7.0,0.0,7.0
PH201700000576,0.0,7.0,0.0,7.0
PH201700000577,0.0,3.0,0.0,3.0
PH201700000578,3.0,15.0,1.0,19.0
PH201700000579,0.0,9.0,0.0,9.0
PH201700000580,0.0,9.0,0.0,9.0
PH201700000581,0.0,10.0,0.0,10.0
PH201700000582,0.0,0.0,0.0,0.0
PH201700000583,0.0,0.0,0.0,0.0
PH201700000584,0.0,0.0,0.0,0.0
PH201700000585,0.0,0.0,0.0,0.0
PH201700000586,0.0,0.0,0.0,0.0
PH201700000587,0.0,7.0,0.0,7.0
PH201700000588,0.0,0.0,0.0,0.0
PH201700000589,0.0,0.0,0.0,0.0
PH201700000590,0.0,0.0,0.0,0.0
PH201700000591,0.0,0.0,0.0,0.0
PH201700000592,0.0,10.0,0.0,10.0
PH201700000593,0.0,7.0,0.0,7.0
PH201700000606,3.0,82.0,0.0,85.0
PH201700000607,4.0,92.0,0.0,96.0
PH201700000608,0.0,1.0,0.0,1.0
PH201700000609,1.0,20.0,0.0,21.0
PH201700000610,0.0,9.0,0.0,9.0
PH201700000611,0.0,2.0,0.0,2.0
PH201700000612,11.0,218.0,0.0,229.0
PH201700000613,4.0,89.0,0.0,93.0
PH201700000614,1.0,98.0,0.0,99.0
PH201700000615,0.0,8.0,0.0,8.0
PH201700000616,2.0,23.0,0.0,25.0
PH201700000617,0.0,9.0,0.0,9.0
PH201700000618,0.0,0.0,0.0,0.0
PH201700000619,0.0,0.0,0.0,0.0
PH201700000620,2.0,122.0,0.0,124.0
PH201700000621,0.0,9.0,0.0,9.0
PH201700000622,2.0,18.0,0.0,20.0
PH201700000623,4.0,88.0,0.0,92.0
PH201700000624,0.0,3.0,0.0,3.0
PH201700000625,3.0,33.0,0.0,36.0
PH201700000626,0.0,0.0,0.0,0.0
PH201700000627,0.0,10.0,0.0,10.0
PH201700000628,2.0,38.0,0.0,40.0
PH201700000629,0.0,14.0,0.0,14.0
PH201700000630,5.0,22.0,0.0,27.0
PH201700000631,5.0,4.0,0.0,9.0
PH201700000632,2.0,3.0,0.0,5.0
PH201700000633,0.0,3.0,0.0,3.0
PH201700000634,3.0,6.0,1.0,10.0
PH201700000635,0.0,3.0,0.0,3.0
PH201700000636,0.0,4.0,0.0,4.0
PH201700000637,0.0,1.0,0.0,1.0
PH201700000638,0.0,7.0,0.0,7.0
PH201700000639,0.0,1.0,0.0,1.0
PH201700000640,0.0,0.0,0.0,0.0
PH201700000641,0.0,0.0,0.0,0.0
PH201700000642,0.0,2.0,0.0,2.0
PH201700000643,0.0,0.0,0.0,0.0
PH201700000644,0.0,0.0,0.0,0.0
PH201700000645,0.0,0.0,0.0,0.0
PH201700000646,0.0,0.0,0.0,0.0
PH201700000647,0.0,1.0,0.0,1.0
PH201700000648,0.0,0.0,0.0,0.0
PH201700000649,0.0,4.0,0.0,4.0
PH201700000650,0.0,1.0,0.0,1.0
PH201700000651,0.0,0.0,1.0,1.0
PH201700000652,0.0,17.0,0.0,17.0
PH201700000653,2.0,43.0,0.0,45.0
PH201700000654,0.0,0.0,0.0,0.0
PH201700000655,2.0,5.0,0.0,7.0
PH201700000656,0.0,0.0,0.0,0.0
PH201700000657,2.0,23.0,0.0,25.0
PH201700000658,1.0,32.0,0.0,33.0
PH201700000727,0.0,0.0,0.0,0.0
PH201700000728,0.0,0.0,0.0,0.0
PH201700000729,0.0,0.0,0.0,0.0
PH201700000730,0.0,1.0,0.0,1.0
PH201700000731,7.0,5.0,0.0,12.0
PH201700000732,0.0,0.0,0.0,0.0
PH201700000733,1.0,1.0,0.0,2.0
PH201700000734,0.0,6.0,1.0,7.0
PH201700000735,0.0,0.0,0.0,0.0
PH201700000736,0.0,0.0,0.0,0.0
PH201700000737,1.0,0.0,0.0,1.0
PH201700000738,0.0,0.0,0.0,0.0
PH201700000739,0.0,0.0,0.0,0.0
PH201700000740,0.0,0.0,0.0,0.0
PH201700000741,0.0,3.0,0.0,3.0
PH201700000742,2.0,9.0,1.0,12.0
PH201700000743,1.0,4.0,1.0,6.0
PH201700000744,1.0,0.0,1.0,2.0
PH201700000745,0.0,2.0,0.0,2.0
PH201700000746,1.0,0.0,0.0,1.0
PH201700000747,0.0,0.0,0.0,0.0
PH201700000748,2.0,11.0,1.0,14.0
PH201700000749,2.0,0.0,1.0,3.0
PH201700000750,2.0,11.0,1.0,14.0
PH201700000751,0.0,0.0,0.0,0.0
PH201700000752,0.0,2.0,0.0,2.0
PH201700000753,0.0,1.0,0.0,1.0
PH201700000754,0.0,4.0,0.0,4.0
PH201700000755,0.0,0.0,0.0,0.0
PH201700000757,0.0,2.0,0.0,2.0
PH201700000758,0.0,4.0,1.0,5.0
PH201700000759,0.0,0.0,0.0,0.0
PH201700000760,0.0,19.0,0.0,19.0
PH201700000761,0.0,0.0,0.0,0.0
PH201700000762,0.0,4.0,0.0,4.0
PH201700000763,0.0,0.0,0.0,0.0
PH201700000764,0.0,0.0,0.0,0.0
PH201700000765,0.0,0.0,0.0,0.0
PH201700000766,2.0,4.0,0.0,6.0
PH201700000767,1.0,0.0,0.0,1.0
PH201700000768,0.0,1.0,1.0,2.0
PH201700000769,0.0,0.0,0.0,0.0
PH201700000770,0.0,0.0,0.0,0.0
PH201700000771,0.0,0.0,0.0,0.0
PH201700000772,2.0,4.0,0.0,6.0
PH201700000773,0.0,0.0,0.0,0.0
PH201700000774,0.0,0.0,0.0,0.0
PH201700000775,0.0,0.0,0.0,0.0
PH201700000776,0.0,0.0,0.0,0.0
PH201700000777,0.0,0.0,0.0,0.0
PH201700000778,0.0,0.0,0.0,0.0
PH201700000779,0.0,0.0,0.0,0.0
PH201700000781,0.0,0.0,0.0,0.0
PH201700000782,0.0,0.0,0.0,0.0
PH201700000783,0.0,0.0,0.0,0.0
PH201700000784,0.0,0.0,0.0,0.0
PH201700000785,0.0,1.0,0.0,1.0
PH201700000787,2.0,2.0,0.0,4.0
PH201700000788,0.0,0.0,1.0,1.0
PH201700000789,0.0,6.0,0.0,6.0
PH201700000790,0.0,2.0,0.0,2.0
PH201700000791,0.0,2.0,0.0,2.0
PH201700000792,0.0,0.0,0.0,0.0
PH201700000793,0.0,0.0,0.0,0.0
PH201700000794,2.0,4.0,0.0,6.0
PH201700000795,0.0,0.0,0.0,0.0
PH201700000796,0.0,0.0,0.0,0.0
PH201700000797,0.0,1.0,0.0,1.0
PH201700000798,0.0,0.0,0.0,0.0
PH201700000346,0.0,12.0,0.0,12.0
PH201700000347,0.0,0.0,0.0,0.0
PH201700000348,0.0,1.0,0.0,1.0
PH201700000349,1.0,0.0,0.0,1.0
PH201700000350,0.0,1.0,0.0,1.0
PH201700000351,0.0,0.0,0.0,0.0
PH201700000352,0.0,0.0,0.0,0.0
PH201700000353,0.0,0.0,0.0,0.0
PH201700000354,0.0,0.0,0.0,0.0
PH201700000355,0.0,0.0,0.0,0.0
PH201700000356,1.0,4.0,0.0,5.0
PH201700000357,0.0,0.0,0.0,0.0
PH201700000358,3.0,2.0,0.0,5.0
PH201700000359,0.0,0.0,0.0,0.0
PH201700000360,5.0,92.0,3.0,100.0
PH201700000361,0.0,0.0,0.0,0.0
PH201700000362,0.0,10.0,0.0,10.0
PH201700000363,2.0,48.0,1.0,51.0
PH201700000364,0.0,0.0,0.0,0.0
PH201700000365,0.0,0.0,0.0,0.0
PH201700000366,0.0,0.0,0.0,0.0
PH201700000367,3.0,0.0,0.0,3.0
PH201700000368,0.0,23.0,0.0,23.0
PH201700000369,5.0,70.0,2.0,77.0
PH201700000370,3.0,35.0,0.0,38.0
PH201700000371,0.0,0.0,0.0,0.0
PH201700000372,1.0,0.0,0.0,1.0
PH201700000373,2.0,38.0,1.0,41.0
PH201700000799,0.0,0.0,0.0,0.0
PH201700000800,4.0,13.0,1.0,18.0
PH201700000801,0.0,1.0,0.0,1.0
PH201700000802,1.0,1.0,0.0,2.0
PH201700000803,0.0,4.0,0.0,4.0
PH201700000804,0.0,0.0,0.0,0.0
PH201700000805,4.0,13.0,1.0,18.0
PH201700000806,1.0,0.0,0.0,1.0
PH201700000807,1.0,2.0,2.0,5.0
PH201700000808,0.0,1.0,0.0,1.0
PH201700000809,0.0,1.0,0.0,1.0
PH201700000810,0.0,2.0,0.0,2.0
PH201700000811,0.0,0.0,0.0,0.0
PH201700000812,0.0,0.0,0.0,0.0
PH201700000813,0.0,0.0,0.0,0.0
PH201700000814,0.0,0.0,0.0,0.0
PH201700000815,0.0,0.0,0.0,0.0
PH201700000816,0.0,0.0,0.0,0.0
PH201700000817,0.0,0.0,0.0,0.0
PH201700000818,0.0,3.0,1.0,4.0
PH201700000819,0.0,0.0,0.0,0.0
PH201700000820,0.0,0.0,0.0,0.0
PH201700000821,0.0,0.0,0.0,0.0
PH201700000822,0.0,0.0,0.0,0.0
PH201700000823,1.0,2.0,0.0,3.0
PH201700000824,0.0,0.0,0.0,0.0
PH201700000825,0.0,0.0,0.0,0.0
PH201700000826,0.0,0.0,0.0,0.0
PH201700000827,0.0,0.0,0.0,0.0
PH201700000828,0.0,0.0,0.0,0.0
PH201700000829,2.0,0.0,0.0,2.0
