DHSID,ground_transport_count,water_transport_count,air_transport_count,all_transport_count
PK201700000143,0.0,0.0,0.0,0.0
PK201700000144,0.0,0.0,1.0,1.0
PK201700000145,1.0,0.0,0.0,1.0
PK201700000146,3.0,0.0,0.0,3.0
PK201700000147,0.0,0.0,0.0,0.0
PK201700000148,2.0,0.0,0.0,2.0
PK201700000149,16.0,0.0,0.0,16.0
PK201700000150,3.0,0.0,0.0,3.0
PK201700000151,14.0,0.0,0.0,14.0
PK201700000152,10.0,0.0,0.0,10.0
PK201700000153,0.0,0.0,0.0,0.0
PK201700000154,4.0,0.0,0.0,4.0
PK201700000155,4.0,0.0,0.0,4.0
PK201700000156,9.0,0.0,0.0,9.0
PK201700000157,2.0,0.0,0.0,2.0
PK201700000158,8.0,0.0,0.0,8.0
PK201700000159,4.0,0.0,0.0,4.0
PK201700000160,0.0,0.0,0.0,0.0
PK201700000161,0.0,0.0,0.0,0.0
PK201700000162,0.0,0.0,0.0,0.0
PK201700000163,2.0,0.0,0.0,2.0
PK201700000164,1.0,0.0,0.0,1.0
PK201700000165,13.0,0.0,0.0,13.0
PK201700000166,0.0,0.0,0.0,0.0
PK201700000167,1.0,0.0,0.0,1.0
PK201700000168,0.0,0.0,0.0,0.0
PK201700000169,0.0,0.0,0.0,0.0
PK201700000170,0.0,0.0,0.0,0.0
PK201700000171,2.0,0.0,0.0,2.0
PK201700000172,0.0,0.0,0.0,0.0
PK201700000173,1.0,0.0,0.0,1.0
PK201700000174,2.0,0.0,0.0,2.0
PK201700000175,1.0,0.0,0.0,1.0
PK201700000176,2.0,0.0,0.0,2.0
PK201700000177,0.0,0.0,0.0,0.0
PK201700000178,0.0,0.0,0.0,0.0
PK201700000179,1.0,0.0,0.0,1.0
PK201700000180,0.0,0.0,0.0,0.0
PK201700000181,2.0,0.0,0.0,2.0
PK201700000182,0.0,0.0,0.0,0.0
PK201700000183,13.0,0.0,0.0,13.0
PK201700000184,10.0,0.0,0.0,10.0
PK201700000185,0.0,0.0,0.0,0.0
PK201700000186,0.0,0.0,0.0,0.0
PK201700000187,0.0,0.0,0.0,0.0
PK201700000188,0.0,0.0,0.0,0.0
PK201700000189,0.0,0.0,0.0,0.0
PK201700000190,1.0,0.0,0.0,1.0
PK201700000192,10.0,0.0,1.0,11.0
PK201700000193,0.0,0.0,0.0,0.0
PK201700000194,0.0,0.0,0.0,0.0
PK201700000195,0.0,0.0,0.0,0.0
