run_id,name,version,parent,group,model_name,model_type,project,gender_classification,gender,classification,aic,bic,centered_tss,condition_number,df_model,df_resid,ess,f_pvalue,fvalue,llf,mse_model,mse_resid,mse_total,rsquared,rsquared_adj,scale,ssr,uncentered_tss
b5c7437e7e7949e699d9b6eaf4356e14,GH_2014_DHS_small_all - sub - OLS,1.6.1,self,eqai,sub,OLS,GH_2014_DHS_small_all,small_all,all,small,10203.688175699606,10288.682991459578,2840540390408.0947,261293007.06808773,20.0,402.0,2169296352075.7437,1.9337012763937852e-112,64.9582777450807,-5080.844087849803,108464817603.78719,1669761289.3839579,6731138365.895959,0.7636914297719545,0.751934784486977,1669761289.3839579,671244038332.3511,2840540680161.737
4ac1c7305f474968af793ac8fce50f8d,GH_2014_DHS_small_all - sub-geo - OLS,1.6.1,self,eqai,sub-geo,OLS,GH_2014_DHS_small_all,small_all,all,small,10200.984312906712,10261.694895592407,2840540390408.0947,13385468.521233352,14.0,408.0,2154381343233.4644,2.9183585984327077e-116,91.50185802492311,-5085.492156453356,153884381659.53317,1681762370.5260546,6731138365.895959,0.7584406652017185,0.7501518644978559,1681762370.5260546,686159047174.6302,2840540680161.737
f57ff566b1234b80970838d18abd6576,GH_2014_DHS_small_all - all-geo - OLS,1.6.1,self,eqai,all-geo,OLS,GH_2014_DHS_small_all,small_all,all,small,10109.82095513492,10227.194748327262,2840540390408.0947,1.3753295852977618e+16,28.0,394.0,2322838599947.5195,2.8450804190759614e-127,63.13607185526589,-5025.91047756746,82958521426.69713,1313963935.1791244,6731138365.895959,0.8177453162754719,0.8047932067722059,1313963935.1791244,517701790460.575,2840540680161.737
7f1f0072502740579ed462ba74995526,GH_2014_DHS_small_all - sub-osm-all-geo - OLS,1.6.1,self,eqai,sub-osm-all-geo,OLS,GH_2014_DHS_small_all,small_all,all,small,10203.688175699606,10288.682991459578,2840540390408.0947,261293007.06808773,20.0,402.0,2169296352075.7437,1.9337012763937852e-112,64.9582777450807,-5080.844087849803,108464817603.78719,1669761289.3839579,6731138365.895959,0.7636914297719545,0.751934784486977,1669761289.3839579,671244038332.3511,2840540680161.737
49d3fd9648d945e2bb71c4fbcd0c4a4f,GH_2014_DHS_small_all - sub-osm - OLS,1.6.1,self,eqai,sub-osm,OLS,GH_2014_DHS_small_all,small_all,all,small,10599.840644486068,10628.172249739393,2840540390408.0947,63244079.233585216,6.0,416.0,1010931911782.2859,5.183163101041632e-37,38.30944162958277,-5292.920322243034,168488651963.71432,4398097304.388964,6731138365.895959,0.3558942218163803,0.3466042346310396,4398097304.388964,1829608478625.8088,2840540680161.737
95d71fb4fead4abc8a9c583f52f63836,GH_2014_DHS_small_all - sub-osm-ntl - OLS,1.6.1,self,eqai,sub-osm-ntl,OLS,GH_2014_DHS_small_all,small_all,all,small,10484.983959828125,10533.55242597668,2840540390408.0947,83244218.07427233,11.0,411.0,1478569914361.3574,6.999243779341696e-59,40.562368707700934,-5230.4919799140625,134415446760.1234,3313796778.7025237,6731138365.895959,0.5205241648223613,0.5076914782360984,3313796778.7025237,1361970476046.7373,2840540680161.737
0b872a11d3d743cdbfe9e9d044b8844f,GH_2014_DHS_small_all - loc - OLS,1.6.1,self,eqai,loc,OLS,GH_2014_DHS_small_all,small_all,all,small,10594.230466557645,10606.372583094784,2840540390408.0947,30.602615185573406,2.0,420.0,1000565922429.1467,2.490426941868215e-40,114.19660835887474,-5294.115233278822,500282961214.57336,4380891590.426066,6731138365.895959,0.352244919948277,0.34916037194803073,4380891590.426066,1839974467978.948,2840540680161.737
0204076a53b9484f89684ac17b6598f2,GH_2014_DHS_small_all - all - OLS,1.6.1,self,eqai,all,OLS,GH_2014_DHS_small_all,small_all,all,small,10135.248142691578,10535.93798841716,2840540390408.0947,1.2421399972464654e+16,98.0,324.0,2445676284607.054,8.231345066292532e-95,20.477184805322647,-4968.624071345789,24955880455.174023,1218716375.9291377,6731138365.895959,0.8609897936553152,0.8189434966745155,1218716375.9291377,394864105801.0406,2840540680161.737
21ea05f960b945d8a4d84f99e5a89a0f,GH_2014_DHS_small_all - all-osm - OLS,1.6.1,self,eqai,all-osm,OLS,GH_2014_DHS_small_all,small_all,all,small,10400.792783174029,10692.203580065361,2840540390408.0947,1.2526630625880726e+16,71.0,351.0,2000066110236.2715,3.745549006208373e-59,11.76437043177762,-5128.3963915870145,28169945214.59537,2394513618.723143,6731138365.895959,0.7041146526168305,0.6442632005820583,2394513618.723143,840474280171.8232,2840540680161.737
d2a6aaa423324422bfaef1ec164a5f7b,GH_2014_DHS_small_all - ntl - OLS,1.6.1,self,eqai,ntl,OLS,GH_2014_DHS_small_all,small_all,all,small,10501.934457277892,10526.218690352169,2840540390408.0947,1839.6349308186127,5.0,417.0,1382091564524.6052,3.389292263556475e-58,79.03358310259993,-5244.967228638946,276418312904.921,3497479198.761366,6731138365.895959,0.486559377642239,0.48040301526384865,3497479198.761366,1458448825883.4895,2840540680161.737
95b7032494854c47ad09fa00af4c3cb8,GH_2014_DHS_small_all - all-osm-ntl - OLS,1.6.1,self,eqai,all-osm-ntl,OLS,GH_2014_DHS_small_all,small_all,all,small,10381.315993276023,10692.963651062586,2840540390408.0947,1.2432034835739312e+16,76.0,346.0,2056640540872.8372,2.721633328605738e-61,11.944289412062131,-5113.657996638011,27061059748.326805,2265606501.546987,6731138365.895959,0.7240314370524983,0.6634140648443765,2265606501.546987,783899849535.2576,2840540680161.737
