run_id,name,parent,max_depth,max_features,min_samples_split,min_samples_leaf,n_estimators,r2,version,gender,classification
33b32f6a46a94fab942e329cd22f9171,defiant-crow-750,31d60efb7bcb46869dae82100b05a603,10,0.33,2,1,500,0.7949841263419023,1.6.1,all,small
753674fbec6949ecbdfc968b41372dd3,rebellious-moth-810,4850ee02d6bb467a91ab2103698b792d,10,0.33,2,1,500,0.7954632374368938,1.6.1,all,small
2f573276c14b4f6b894d819d3b1f56e4,worried-shoat-460,255f5c1493064dc59c1b5c25c474279b,10,0.33,2,1,500,0.7995838420641249,1.6.1,all,small
51a7059b52504712ae38ac391f63df5f,caring-hen-731,afe16fbb7ce94069b2f1f6a7ff93c229,10,0.33,2,1,500,0.7949841263419021,1.6.1,all,small
e8f34177e59d4599a2b7b92864eb53e0,mercurial-conch-317,7bfef8fd03574e5aaf46611b3b371e0d,10,0.33,2,1,500,0.575900476106057,1.6.1,all,small
3b906dc787a0406682c2e612210ed80a,rogue-hawk-765,cfe7e13442df4dbcadb613d5b81a50eb,10,0.33,2,1,500,0.7007247404775375,1.6.1,all,small
5315835192394514a44ff176438460ed,learned-squid-436,0c76f04921c04fd18d76471ab3f1d1d0,10,0.33,2,1,500,0.5678700018698013,1.6.1,all,small
3f71942c6f244037a6bb996db0832ac2,flawless-cub-896,1c73d57b60764e48ab44c270984286f0,10,0.33,2,1,500,0.7931527555903827,1.6.1,all,small
0dcf0d1580a14f1887385f4734db4de6,dashing-grouse-48,8a4feb14da5a47afb03ae800f94b6df9,10,0.33,2,1,500,0.6590543484973127,1.6.1,all,small
4bcb9a9064ed4f5797a252ebeab6193e,judicious-cod-920,60988bc549c54305a42a9e0c967a1bcc,10,0.33,2,1,500,0.6486757974888471,1.6.1,all,small
718232527f90442db6a26436c492c5fd,rumbling-snake-152,a36585fbf36542fd91bdff525cc8117b,10,0.33,2,1,500,0.6936653102702399,1.6.1,all,small
6a3781d91d654824a61c22ccf202e557,stately-fawn-27,a6eceb6127394321bf587dbddfc72cc9,10,0.33,2,1,500,0.836809478162459,1.6.1,all,medium
d77bee45479a49ed9893e34db0a0d9aa,amazing-flea-843,5524119f90ba432bae254c68b1c5cb6b,10,0.33,2,1,500,0.8347652382502648,1.6.1,all,medium
d274d4918be046c1b5354a5927d2dc6d,whimsical-mule-410,b1a6d56294c4403faab42a807143c0b4,10,0.33,2,1,500,0.8436611002139072,1.6.1,all,medium
99c4b46ff4394c1ea164b1fb969cc3ba,clumsy-newt-184,ddd743ab8be54a1c9aa8ecf4d99efd5e,10,0.33,2,1,500,0.836809478162459,1.6.1,all,medium
c9d60bca4a4d40d891ef51d413941976,hilarious-frog-583,30ebb363d9dd49bbbd4477bb2991ba0b,10,0.33,2,1,500,0.6374355704462713,1.6.1,all,medium
5415cc53a6eb4183b67ffaa9d89ad980,wise-colt-81,413a61709a5c472d83b9416e5d4bcfa3,10,0.33,2,1,500,0.7567443739814282,1.6.1,all,medium
98907d3dab784d1da51592b86c703472,clumsy-ram-441,91ea0c507b714a22b5ba405d436126f2,10,0.33,2,1,500,0.5612163567623579,1.6.1,all,medium
9f3ab14aa051495192a2711446d822d5,big-rook-265,30a6f813707e439f92ff9ca373e540e7,10,0.33,2,1,500,0.8410637264288658,1.6.1,all,medium
7b0cb3fa28174b51a9a90340ce3cc2c6,melodic-hen-261,5f9324580a434a97a9e8597d2ee46ef0,10,0.33,2,1,500,0.7057677729862132,1.6.1,all,medium
ee8402d7f62946f0a6030d4fd3358b54,delightful-conch-513,e6276a812bc54b2c8608f30750d984f6,10,0.33,2,1,500,0.7084513035464726,1.6.1,all,medium
68f408627c0041f78ae53d24dc550283,receptive-wren-916,a6af9950794e461ca2d33208358e0eb1,10,0.33,2,1,500,0.7462575992546068,1.6.1,all,medium
45fd387c563f43018a7c75726d2aa20f,sneaky-frog-450,4326f302418840c7a10b6420b3ac50b8,10,0.33,2,1,500,0.8511918885004798,1.6.1, all,all
f25d266a6b0241a2ad0ced7bd7531e13,calm-grub-610,306461284f9d45f591afd37e16d88baf,10,0.33,2,1,500,0.846541598835555,1.6.1, all,all
a1d776bd90af418d93d83eb655865b78,classy-chick-606,f692dc81e02e4ffb9a52ffdbaebc0dcf,10,0.33,2,1,500,0.8551944119791642,1.6.1, all,all
2e5c4cb2fd7e4c1e8da04cd8e4d8c139,stately-bird-403,dff7f20aa91b4bd2a01e4bfd7a130faa,10,0.33,2,1,500,0.8511918885004798,1.6.1, all,all
4967d87d02c64bbf9710a62a8ed12d4f,youthful-grub-938,da2f614010e54d27bf652e3423f12c1d,10,0.33,2,1,500,0.6341655292417998,1.6.1, all,all
ae3920370a5d47a49eab9fa013d8eff0,rebellious-chimp-883,a5dc23ad6ff24436a7d38b2db7663685,10,0.33,2,1,500,0.7629805760757513,1.6.1, all,all
f6b2d7f51a884311aca72901a0fc1744,puzzled-pug-239,83797760745543fcbab9de7564b35c6c,10,0.33,2,1,500,0.5745646270371347,1.6.1, all,all
f5842b1c53a24520b8cbf0efff0b9cc9,secretive-donkey-352,44cb04b9f28348cb95453361454a317f,10,0.33,2,1,500,0.8544308467757578,1.6.1, all,all
c268a3a14b284f7482a17ae0dc7828be,delicate-ram-510,391be4d51243400384305f13a3b33fc7,10,0.33,2,1,500,0.7116903563747509,1.6.1, all,all
554f7b00c4b94c999c50a066834def06,bouncy-panda-580,3a83533000c34066afb116c4168b9e46,10,0.33,2,1,500,0.723021199217315,1.6.1, all,all
fa50ab2a668c44f1912c32bdb9a28e6c,merciful-whale-122,14dfb208a8334e7587dfb56902d85320,10,0.33,2,1,500,0.7588599124673315,1.6.1, all,all
9a5f98e349d84adc8f3ef7ded5274150,useful-sloth-362,831df2a373f64a98956d7119b1595221,10,0.33,2,1,500,0.7577390431949166,1.5.0,female,hoheq
0b5c0115c585485e8ac642ab0cb48da0,painted-gnat-125,93fe1508bb4e414698af1f51e15cf2a4,10,0.33,2,1,500,0.7524308536386447,1.5.0,female,hoheq
