links_roads_nearestid,links_roads_nearestdist,major_roads_nearestid,major_roads_nearestdist,minor_roads_nearestid,minor_roads_nearestdist,nocars_roads_nearestid,nocars_roads_nearestdist,small_roads_nearestid,small_roads_nearestdist,unknown_roads_nearestid,unknown_roads_nearestdist,all_roads_nearestdist,all_roads_nearest-osmid,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length,DHSID
658575812,0.009063265499536368,863435700,0.00048736559694211983,182627090,0.00035510262762387967,808741448,0.0037823487117196715,917248736,0.0005405991118092995,25747761,0.09452893083719521,0.00035510262762387967,minor_roads_nearestdist,229.123987210902,15297.66906066759,147755.9025016467,2997.597501876015,34258.427411379394,0.0,200538.72046278056,KE201400000001
658575812,0.00690875481540887,863435700,0.0026816751191296945,673745846,0.0004137437714306284,808738581,0.0006507155626813999,913421611,0.0016211086253412042,25747761,0.08960528080611517,0.0004137437714306284,minor_roads_nearestdist,367.3639607857927,17308.351325996868,138323.89650379322,2996.92759666618,34379.20258527785,0.0,193375.7419725199,KE201400000002
231504732,0.008923445548999738,863435700,0.0011959304840138162,675100543,5.8120171691203944e-05,808746681,0.0011256460470934454,828229620,0.0002689200179340415,25747761,0.10176369810033647,5.8120171691203944e-05,minor_roads_nearestdist,573.960051702175,16106.560133118628,150207.33648280596,3066.6550471451897,22467.21495899879,0.0,192421.72667377073,KE201400000003
532655578,0.012517367509879697,97084503,0.0008711727475026556,826140225,0.0002315641985366364,769248683,0.0021760273182538244,769248682,0.002263542513430096,766595202,0.10320975898022215,0.0002315641985366364,minor_roads_nearestdist,975.5998184830718,20079.819632112383,99875.56314301079,4739.953236516501,8917.516011324373,0.0,134588.45184144712,KE201400000004
231504732,0.005812749809318114,768420461,0.004390934801784095,675118092,6.019003391673991e-05,680268665,0.0012770700428063181,913354274,0.0031812216922850766,25747761,0.10540576059130444,6.019003391673991e-05,minor_roads_nearestdist,593.4742468641252,14764.064941907187,124666.98410616345,2718.2040473069387,20563.09144735471,0.0,163305.8187895964,KE201400000005
989782423,0.007129050663977584,987949776,0.001448614127567414,93670709,0.0001442308221091445,769741025,0.0022413724615142996,187198060,0.0016684283438204983,766595202,0.11382917097763277,0.0001442308221091445,minor_roads_nearestdist,493.96727206119704,17349.642942314527,109271.3960881244,2786.583196989537,15032.532633122597,0.0,144934.12213261225,KE201400000006
671213681,0.01321750474091384,26842934,0.008713867822561984,674995544,0.0006565610300048335,349140235,0.0024438698059719623,787006000,0.0012854138397234887,766595202,0.07026673206656346,0.0006565610300048335,minor_roads_nearestdist,0.0,2180.0145876378556,61274.5790406564,7810.086869750604,25012.9493479082,0.0,96277.62984595307,KE201400000007
658421883,0.0042655720120472725,679968814,0.003064838727602417,48161175,9.773102847736904e-05,48161280,0.00017390105773943318,725301622,0.0007664080050440497,25747761,0.06082167978913421,9.773102847736904e-05,minor_roads_nearestdist,2500.6170883414215,30840.79972108359,107919.79892070752,38733.375932056675,39891.17755455373,0.0,219885.76921674295,KE201400000008
658421882,0.0014341542262551288,679968812,0.00032603615324551494,174310486,0.0005002188166920803,48161395,0.0010085342390214096,48161177,0.0005051791014197813,25747761,0.0618093226598201,0.00032603615324551494,major_roads_nearestdist,2677.378946068914,27404.663228005556,95629.46680552476,32830.51936650088,34370.60648962481,0.0,192912.6348357249,KE201400000009
42010979,0.0016556760176502845,43763645,0.00018647652715903963,174310515,0.0008307444692283228,42010980,0.0001476991832590685,917256330,0.0011249410170281878,25747761,0.036922798634753645,0.0001476991832590685,nocars_roads_nearestdist,2060.578306982352,26936.189162485298,98220.85655815457,12383.568272376497,56666.848643717254,0.0,196268.04094371595,KE201400000010
42010979,0.0010690588022923202,43763644,0.0003970031395328236,105267061,0.0002284525034337013,42010982,0.0005793749415530025,917256328,0.0007502489574251096,25747761,0.036333061258754074,0.0002284525034337013,minor_roads_nearestdist,1575.901175930059,26435.020270237852,98672.41107934498,11831.889539190659,60165.42752348438,0.0,198680.64958818792,KE201400000011
369117818,0.004544322270942067,827318979,0.002786236518218908,48161426,0.00019475786093003713,48161188,0.00019023832386707573,863658735,0.0009766357145843713,25747761,0.05304364136678327,0.00019023832386707573,nocars_roads_nearestdist,2802.3918569855,33254.79158830646,90291.58690100248,34026.17841567075,46971.627798605696,0.0,207346.57656057092,KE201400000012
25761965,0.011846723666931297,849627236,0.0016956153692486771,677882589,0.00012907799243080072,849627263,0.003840725484625008,923629209,0.0022115020496304354,25747761,0.05241118652495889,0.00012907799243080072,minor_roads_nearestdist,97.90435916305984,24944.951043169334,190825.22616834575,14965.657940632369,28104.943804189694,0.0,258938.6833155002,KE201400000013
658273358,0.007817282404546622,849627236,0.003990502864565656,25786121,0.0002761209756775737,638008287,5.094314968481747e-05,223531369,0.0010043146024459075,25747761,0.05139925541699579,5.094314968481747e-05,nocars_roads_nearestdist,216.97145967459224,20371.397772050525,170986.14422823983,25805.84094827711,29276.00429003401,0.0,246656.35869827605,KE201400000014
714339009,0.02519440922122503,25036571,8.125362976533194e-05,677588734,0.00031574089904707974,677807942,0.0027868904298868394,26469057,0.0015250076548994098,25747761,0.07099216199149432,8.125362976533194e-05,major_roads_nearestdist,0.0,10563.185911035016,234370.34224484293,5550.660822656859,19412.332093412413,0.0,269896.52107194724,KE201400000015
