DHSID,water_transport_count,air_transport_count,ground_transport_count,all_transport_count
KE201400000121,0.0,0.0,1.0,1.0
KE201400000122,0.0,0.0,0.0,0.0
KE201400000123,0.0,0.0,1.0,1.0
KE201400000124,0.0,0.0,1.0,1.0
KE201400000125,0.0,0.0,0.0,0.0
KE201400000126,0.0,0.0,0.0,0.0
KE201400000127,0.0,1.0,0.0,1.0
KE201400000128,0.0,0.0,0.0,0.0
KE201400000129,0.0,0.0,0.0,0.0
KE201400000130,0.0,0.0,0.0,0.0
KE201400000131,0.0,0.0,0.0,0.0
KE201400000132,0.0,1.0,0.0,1.0
KE201400000133,0.0,0.0,0.0,0.0
KE201400000134,0.0,1.0,0.0,1.0
KE201400000135,0.0,0.0,0.0,0.0
KE201400000136,0.0,0.0,0.0,0.0
KE201400000137,0.0,0.0,0.0,0.0
KE201400000138,0.0,0.0,0.0,0.0
KE201400000139,0.0,0.0,0.0,0.0
KE201400000140,0.0,0.0,0.0,0.0
KE201400000141,0.0,0.0,0.0,0.0
KE201400000142,0.0,0.0,0.0,0.0
KE201400000143,0.0,0.0,0.0,0.0
KE201400000144,0.0,0.0,0.0,0.0
KE201400000145,0.0,0.0,0.0,0.0
KE201400000146,0.0,0.0,0.0,0.0
KE201400000147,0.0,0.0,0.0,0.0
KE201400000148,0.0,0.0,0.0,0.0
KE201400000149,0.0,0.0,2.0,2.0
KE201400000150,0.0,0.0,1.0,1.0
KE201400000151,0.0,0.0,0.0,0.0
KE201400000152,0.0,0.0,0.0,0.0
KE201400000153,0.0,0.0,0.0,0.0
KE201400000154,0.0,0.0,0.0,0.0
KE201400000155,0.0,0.0,0.0,0.0
KE201400000156,0.0,0.0,0.0,0.0
KE201400000157,0.0,0.0,0.0,0.0
KE201400000158,0.0,0.0,1.0,1.0
KE201400000159,0.0,0.0,2.0,2.0
KE201400000160,0.0,0.0,1.0,1.0
KE201400000161,0.0,0.0,0.0,0.0
KE201400000162,0.0,0.0,3.0,3.0
KE201400000163,0.0,0.0,1.0,1.0
KE201400000164,0.0,0.0,0.0,0.0
KE201400000165,0.0,0.0,0.0,0.0
KE201400000166,0.0,0.0,0.0,0.0
KE201400000167,0.0,0.0,0.0,0.0
KE201400000168,0.0,0.0,0.0,0.0
KE201400000169,0.0,0.0,0.0,0.0
KE201400000170,0.0,0.0,0.0,0.0
KE201400000171,0.0,0.0,0.0,0.0
KE201400000172,0.0,0.0,0.0,0.0
KE201400000173,0.0,0.0,0.0,0.0
KE201400000174,0.0,0.0,0.0,0.0
KE201400000175,0.0,0.0,0.0,0.0
KE201400000176,0.0,0.0,0.0,0.0
KE201400000177,0.0,0.0,0.0,0.0
KE201400000178,0.0,0.0,0.0,0.0
KE201400000179,0.0,0.0,0.0,0.0
KE201400000180,0.0,0.0,0.0,0.0
KE201400000181,0.0,0.0,0.0,0.0
KE201400000182,0.0,0.0,0.0,0.0
KE201400000183,0.0,0.0,0.0,0.0
KE201400000184,0.0,0.0,0.0,0.0
KE201400000185,0.0,0.0,0.0,0.0
KE201400000186,0.0,0.0,1.0,1.0
KE201400000187,0.0,0.0,0.0,0.0
KE201400000188,0.0,0.0,1.0,1.0
KE201400000189,0.0,0.0,1.0,1.0
KE201400000190,0.0,0.0,0.0,0.0
KE201400000191,0.0,0.0,0.0,0.0
KE201400000192,0.0,0.0,0.0,0.0
KE201400000193,0.0,0.0,0.0,0.0
KE201400000194,0.0,0.0,2.0,2.0
KE201400000195,0.0,0.0,1.0,1.0
KE201400000196,0.0,0.0,0.0,0.0
KE201400000197,0.0,0.0,1.0,1.0
