wb_aid.na.sum,wdpa_iucn_cat_201704.na.categorical_count,wdpa_iucn_cat_201704.na.categorical_unprotected,wdpa_iucn_cat_201704.na.categorical_ia,wdpa_iucn_cat_201704.na.categorical_ib,wdpa_iucn_cat_201704.na.categorical_ii,wdpa_iucn_cat_201704.na.categorical_iii,wdpa_iucn_cat_201704.na.categorical_iv,wdpa_iucn_cat_201704.na.categorical_v,wdpa_iucn_cat_201704.na.categorical_vi,wdpa_iucn_cat_201704.na.categorical_not_applicable,wdpa_iucn_cat_201704.na.categorical_not_assigned,wdpa_iucn_cat_201704.na.categorical_not_reported,wdpa_iucn_cat_201704.na.categorical_mix,wdpa_iucn_cat_201704.na.count,viirs.2012.mean,viirs.2013.mean,viirs.2014.mean,viirs.2012.min,viirs.2013.min,viirs.2014.min,viirs.2012.max,viirs.2013.max,viirs.2014.max,viirs.2012.median,viirs.2013.median,viirs.2014.median,viirs.2012.sum,viirs.2013.sum,viirs.2014.sum,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2014.mean,udel_precip_v501_sum.2012.sum,udel_precip_v501_sum.2013.sum,udel_precip_v501_sum.2014.sum,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2014.mean,srtm_slope_500m.na.mean,srtm_elevation_500m.na.mean,ltdr_avhrr_ndvi_v5_yearly.2012.mean,ltdr_avhrr_ndvi_v5_yearly.2013.mean,ltdr_avhrr_ndvi_v5_yearly.2014.mean,esa_landcover.2012.categorical_count,esa_landcover.2012.categorical_mosaic_cropland,esa_landcover.2012.categorical_rainfed_cropland,esa_landcover.2012.categorical_urban,esa_landcover.2012.categorical_no_data,esa_landcover.2012.categorical_bare_areas,esa_landcover.2012.categorical_sparse_vegetation,esa_landcover.2012.categorical_water_bodies,esa_landcover.2012.categorical_grassland,esa_landcover.2012.categorical_forest,esa_landcover.2012.categorical_wetland,esa_landcover.2012.categorical_shrubland,esa_landcover.2012.categorical_irrigated_cropland,esa_landcover.2012.categorical_snow_ice,esa_landcover.2013.categorical_count,esa_landcover.2013.categorical_mosaic_cropland,esa_landcover.2013.categorical_rainfed_cropland,esa_landcover.2013.categorical_urban,esa_landcover.2013.categorical_no_data,esa_landcover.2013.categorical_bare_areas,esa_landcover.2013.categorical_sparse_vegetation,esa_landcover.2013.categorical_water_bodies,esa_landcover.2013.categorical_grassland,esa_landcover.2013.categorical_forest,esa_landcover.2013.categorical_wetland,esa_landcover.2013.categorical_shrubland,esa_landcover.2013.categorical_irrigated_cropland,esa_landcover.2013.categorical_snow_ice,esa_landcover.2014.categorical_count,esa_landcover.2014.categorical_mosaic_cropland,esa_landcover.2014.categorical_rainfed_cropland,esa_landcover.2014.categorical_urban,esa_landcover.2014.categorical_no_data,esa_landcover.2014.categorical_bare_areas,esa_landcover.2014.categorical_sparse_vegetation,esa_landcover.2014.categorical_water_bodies,esa_landcover.2014.categorical_grassland,esa_landcover.2014.categorical_forest,esa_landcover.2014.categorical_wetland,esa_landcover.2014.categorical_shrubland,esa_landcover.2014.categorical_irrigated_cropland,esa_landcover.2014.categorical_snow_ice,distance_to_coast_236.na.mean,dist_to_water.na.mean,accessibility_to_cities_2015_v1.0.mean,onshore_petroleum_v12.na.mean,globalwindatlas_windspeed.na.mean,globalsolaratlas_pvout.na.mean,gemdata_201708.na.sum,gdp_grid.na.sum,distance_to_gold_v12.na.mean,distance_to_gemdata_201708.na.mean,distance_to_drugdata_201708.na.mean,dist_to_onshore_petroleum_v12.na.mean,diamond_distance_201708.na.mean,diamond_binary_201708.na.mean,ambient_air_pollution_2013_o3.2013.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,worldpop_pop_count_1km_mosaic.2012.mean,worldpop_pop_count_1km_mosaic.2013.mean,worldpop_pop_count_1km_mosaic.2014.mean,modis_lst_mod11c3_006_day_annual_mean.2012.mean,modis_lst_mod11c3_006_day_annual_mean.2013.mean,modis_lst_mod11c3_006_day_annual_mean.2014.mean,DHSID
1472939.81813,69,69,0,0,0,0,0,0,0,0,0,0,0,66.189994812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9,79.80833333333332,93.82222222222224,46.17799896784126,38.81599913239479,45.449998984113336,26.922222222222224,27.23611111111111,27.4,0.886429742421,288.118714838,5172.15706792,5161.27668515,4986.76303217,834,11,2,0,0,0,0,0,0,795,0,26,0,0,834,11,2,0,0,0,0,0,0,795,0,26,0,0,834,11,2,0,0,0,0,0,0,795,0,26,0,0,341884.542909,33684.9273448,156.46089606,0.0,3.76164133348,3.85643315788,0.0,2.87710762024,190284.983923,713235.809718,78121.286341,831520.479696,200417.529942,0.0,72.2959564135,28.2955070212,35.493233254,35.6952854291,35.159977465,301.383627531,303.170492019,303.349752186,GH201400000011
208856.114016,10,10,0,0,0,0,0,0,0,0,0,0,0,11.0100002289,0.286137576432,0.465197201472,0.581066620063,0.0,0.0,0.0,1.33493888378,1.74997222424,2.16403102875,0.0917057991028,0.24120682478,0.309915065765,17.4217453003,28.1787567139,35.1416091919,94.80833333333334,94.40833333333333,95.40833333333333,11.376999745704234,11.328999746777118,11.448999744094909,26.291666666666664,26.308333333333334,26.625000000000004,1.1592675896,271.95710479,6089.08261486,6624.38793143,6373.49482859,137,0,123,11,0,0,0,0,0,0,0,3,0,0,137,0,121,13,0,0,0,0,0,0,0,3,0,0,137,0,118,16,0,0,0,0,0,0,0,3,0,0,252474.224197,103668.882042,28.2772634766,0.0,3.67427182535,3.64777355583,0.0,5.76476097107,91122.0258119,684482.519698,37927.1945757,782961.476745,100525.171446,0.0,67.5300674438,26.397669226,212.34845373,226.47353936,242.394131843,301.772758621,301.716241379,301.804012538,GH201400000012
209667.989765,9,9,0,0,0,0,0,0,0,0,0,0,0,11.0199995041,0.0931272614105,0.115490110465,0.0878451345602,0.0,0.0,0.0,0.714074552059,0.832129120827,0.580588161945,0.0,0.0,0.0,5.66338729858,7.02823066711,5.35591506958,99.71666666666667,90.13333333333334,102.72500000000001,11.965999732539057,10.81599975824356,12.32699972447008,26.333333333333332,26.458333333333332,26.683333333333334,0.954134668446,277.091766561,6463.13392838,6847.23469373,6707.0873013,132,11,114,7,0,0,0,0,0,0,0,0,0,0,132,10,114,8,0,0,0,0,0,0,0,0,0,0,132,10,113,9,0,0,0,0,0,0,0,0,0,0,241044.951107,81540.1384715,23.2557542756,0.0,3.55931633096,3.6064476617,0.0,3.6896777153,119668.248221,744489.515261,95237.5626761,842570.349062,141185.432536,0.0,67.2471836642,19.6753747859,190.630157948,189.04717397,189.066770591,300.12,300.12948052,299.852142858,GH201400000013
246412.0288,10,10,0,0,0,0,0,0,0,0,0,0,0,11.0899991989,0.422272694087,0.446074160412,0.511120558547,0.0,0.0,0.0,2.48802042007,2.7205581665,2.75447034836,0.0582230389118,0.171861901879,0.176315888762,25.853395462,27.1752109528,31.1954917908,92.22538942640647,80.39507577727699,85.5136287281,NA,NA,NA,27.403981080644833,27.52069642561231,27.72486613467278,1.06202237304,299.932767126,4074.3845029,4519.95424294,4280.80141639,134,83,4,0,0,0,0,0,0,14,0,33,0,0,134,83,4,0,0,0,0,0,0,14,0,33,0,0,134,83,4,0,0,0,0,0,0,14,0,33,0,0,496328.085414,28087.4032137,43.6766126266,0.0,3.71193563203,4.13153726721,0.0,0.129339322448,275796.324133,730159.737304,182359.254364,875639.873864,270984.658787,0.0,70.9211877846,35.4056369388,134.894762743,112.128904981,122.710310974,306.301121837,306.88551093,306.563013995,GH201400000014
1387169.45121,65,65,0,0,0,0,0,0,0,0,0,0,0,66.0199966431,0.0154455802382,0.0294731922333,0.026555252541,0.0,0.0,0.0,0.516724467278,1.1361348629,0.966704070568,0.0,0.0,0.0,5.77902841568,11.0275001526,9.93574714661,102.76666666666668,101.18333333333335,109.125,24.66399944871664,24.283999457210303,26.189999414607882,26.3,26.258333333333333,26.475,0.887509799767,221.703264759,6447.31421064,6622.14395207,6459.68234427,829,25,798,4,0,0,0,0,0,2,0,0,0,0,829,25,797,5,0,0,0,0,0,2,0,0,0,0,829,25,797,5,0,0,0,0,0,2,0,0,0,0,208112.124216,87380.4888534,126.85128864,0.0,3.41055301656,3.60086994212,0.0,6.10916280746,89981.8454563,748594.449362,107529.592824,839603.475018,124425.33491,0.0,66.5423242448,20.1424863469,89.569940695,93.3214846327,96.6090412199,300.198203498,301.121316806,300.760630617,GH201400000015
1935940.47432,64,64,0,0,0,0,0,0,0,0,0,0,0,65.7699966431,0.0074671193574,0.00218200543981,0.0041961508769,0.0,0.0,0.0,0.385880202055,0.493970692158,0.574412286282,0.0,0.0,0.0,2.6701772213,0.737000226974,1.44113826752,105.49166666666667,101.16666666666667,108.38333333333333,50.635998868197206,48.55999891459942,52.02399883717298,26.7,27.083333333333332,27.208333333333332,4.16386177656,253.239011369,5575.72960614,5584.52806332,5814.1558603,827,85,700,0,0,0,0,0,0,42,0,0,0,0,827,85,700,0,0,0,0,0,0,42,0,0,0,0,827,85,700,0,0,0,0,0,0,42,0,0,0,0,62590.9659265,62590.9659265,35.3910756703,0.0,3.16226401317,3.58306749863,0.0,7.62043857574,35918.1017485,548181.112633,32866.6477334,604682.990665,12882.3208196,0.0,64.648739449,22.1936502193,155.80753516,157.137737786,154.768465474,299.542573853,300.08637025,299.658564862,GH201400000016
715756.982302,10,10,0,0,0,0,0,0,0,0,0,0,0,11.0399990082,0.485150745247,0.744348280342,0.742349409004,0.0,0.0,0.0,2.37294769287,3.58983778954,3.20185947418,0.230838313699,0.370367735624,0.413436621428,29.2771873474,44.8461532593,44.7321090698,98.71666666666665,78.07499999999999,97.14166666666667,NA,NA,NA,26.624999999999996,26.900000000000002,27.08333333333333,1.02715992218,321.262499168,5690.26338563,5899.56162472,5885.8574194,134,17,7,28,0,0,0,0,0,67,0,15,0,0,134,16,6,30,0,0,0,0,0,67,0,15,0,0,134,16,5,31,0,0,0,0,0,67,0,15,0,0,321276.154332,60135.2488322,77.8337680774,0.0,4.03279034134,3.77639863724,0.0,7.08849239349,185452.937802,732874.60331,91311.4155106,847280.486021,194876.231459,0.0,70.6278440696,25.9046672598,355.013926145,391.810646145,404.753004974,300.842079956,301.505248442,301.805537189,GH201400000017
2242653.0685,62,62,0,0,0,0,0,0,0,0,0,0,0,65.7600021362,0.589101901419,0.679872613713,0.758491626006,0.0,0.0,0.0,8.61863327026,8.24499988556,8.54952430725,0.0,0.0,0.0,219.201461792,252.953079224,282.19708252,116.64687491508957,115.65104156807745,118.02708319785498,41.84699906464666,41.46499907318503,42.256999055482446,25.990625039217413,26.175000039581214,26.176041706611667,1.7567283091,202.934996596,6102.74814941,6585.26898016,6271.99646263,826,275,466,64,0,0,0,0,0,21,0,0,0,0,826,275,465,65,0,0,0,0,0,21,0,0,0,0,826,275,463,67,0,0,0,0,0,21,0,0,0,0,138511.790636,19562.1286436,9.53687459674,0.0,2.96507962442,3.81888300879,0.0,72.4510650635,157373.80555,386469.118024,92985.9543487,485447.881878,150318.28737,0.0,72.9974091375,27.5159828807,543.823576234,597.741442242,614.547484523,301.353272204,301.567278986,301.754018429,GH201400000018
1756963.46464,61,61,0,0,0,0,0,0,0,0,0,0,0,65.8600006104,0.118920757043,0.140082835767,0.13192494368,0.0,0.0,0.0,1.57887077332,1.71689379215,1.8334826231,0.0,0.0,0.0,44.3547477722,52.1570281982,49.1516609192,115.76666666666668,124.41666666666669,104.79166666666667,27.783999378979207,29.85999933257699,25.149999437853694,26.316666666666666,26.308333333333334,26.78333333333334,1.19691280475,221.93332007,6584.45571488,6761.98978323,6924.98725937,832,27,786,19,0,0,0,0,0,0,0,0,0,0,832,27,785,20,0,0,0,0,0,0,0,0,0,0,832,27,784,21,0,0,0,0,0,0,0,0,0,0,146597.242815,50139.187299,41.7528764439,0.0,3.28056758649,3.68167609041,0.0,26.5868721008,7898.85774617,570357.405278,14722.7828128,650214.254845,45587.8246152,0.0,67.5865467865,24.3236471762,120.676451404,123.466824613,131.700112591,299.869884572,300.767016895,300.220986752,GH201400000019
2610315.87848,63,60,0,0,0,0,0,0,0,0,0,3,0,66.5999984741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.03030228582548,76.18615583353522,70.46147375476903,22.933999487385154,18.42399958819151,17.109999617561698,28.524830442008646,28.76232514332142,28.797728563270006,0.629818667176,215.329121409,3245.41335533,3318.10013735,3097.79617199,838,3,833,0,0,0,0,0,0,0,0,2,0,0,838,3,833,0,0,0,0,0,0,0,0,2,0,0,838,3,833,0,0,0,0,0,0,0,0,2,0,0,561684.629986,19020.0706703,21.7797413792,0.0,3.44336060886,4.32593743632,0.0,7.94979667664,156337.6039,566201.775088,339538.675204,762656.200409,52636.0791303,0.0,60.3432412968,23.5295855281,195.717349713,186.059399052,195.309121847,307.407254589,309.231008924,309.302169344,GH201400000020
