type,group
slipway,water
motorway_junction,driving
parking_multistorey,service
weir,water
ford,driving
parking_underground,service
fuel,service
street_lamp,driving
dam,water
stop,driving
parking,service
service,service
parking_bicycle,service
mini_roundabout,driving
crossing,driving
traffic_signals,driving
marina,water
lock_gate,water
waterfall,water
turning_circle,driving
speed_camera,driving
pier,water
