dhswi_quintile,0,1,2,3,4
0,0.47246525990735977,0.37467833247555327,0.1080802882141019,0.03860010293360782,0.006176016469377252
1,0.35092348284960423,0.3034300791556728,0.25659630606860157,0.07849604221635884,0.010554089709762533
2,0.08435472242249459,0.23071377072819033,0.42033165104542175,0.2213410237923576,0.043258832011535686
3,0.003997335109926716,0.05263157894736842,0.27581612258494337,0.4123917388407728,0.2551632245169887
4,0.0,0.003612281757977122,0.042745334136062615,0.2456351595424443,0.708007224563516
