dhswi_quintile,0,1,2,3,4
0,0.5057034220532319,0.3574144486692015,0.09801436417406,0.033375580904098014,0.005492184199408534
1,0.38318546683565696,0.3265737220109844,0.2213772708069286,0.06125897760878749,0.0076045627376425855
2,0.10773130544993663,0.26320236586396284,0.4064216307562315,0.1888466413181242,0.03379805661174482
3,0.0033798056611744824,0.049429657794676805,0.2991128010139417,0.40430925221799746,0.24376848331220954
4,0.0,0.0038022813688212928,0.04478242501056189,0.2420785804816223,0.7093367131389945
