DHSID,education_buildings_count,education_buildings_avgarea,education_buildings_totalarea,education_buildings_ratio,recreational_buildings_count,recreational_buildings_avgarea,recreational_buildings_totalarea,recreational_buildings_ratio,commercial_buildings_count,commercial_buildings_avgarea,commercial_buildings_totalarea,commercial_buildings_ratio,government_buildings_count,government_buildings_avgarea,government_buildings_totalarea,government_buildings_ratio,religious_buildings_count,religious_buildings_avgarea,religious_buildings_totalarea,religious_buildings_ratio,industrial_buildings_count,industrial_buildings_avgarea,industrial_buildings_totalarea,industrial_buildings_ratio,health_buildings_count,health_buildings_avgarea,health_buildings_totalarea,health_buildings_ratio,residential_buildings_count,residential_buildings_avgarea,residential_buildings_totalarea,residential_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,buffer_area,all_buildings_ratio
BD201800000050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12546193.962184053,0.0
BD201800000051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12546193.962184148,0.0
BD201800000052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12546193.962184193,0.0
BD201800000053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12546193.962182846,0.0
BD201800000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,293.24571813305965,293.24571813305965,2.337328109360898e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,414.4805786289409,3730.325207660468,0.0002973272387549787,10.0,4023.5709257935277,402.35709257935275,12546193.96218371,0.00032070051984858767
BD201800000055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,293.24571813305965,293.24571813305965,2.3373281093609446e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,293.24571813305965,293.24571813305965,12546193.96218346,2.3373281093609446e-05
BD201800000056,1.0,990.1453286692122,990.1453286692122,7.891997618191515e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,990.1453286692122,990.1453286692122,12546193.962183533,7.891997618191515e-05
BD201800000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12546193.962183211,0.0
BD201800000058,4.0,358.066122406191,1432.264489624764,0.00011415928160699828,0.0,0.0,0.0,0.0,1.0,841.6625207277845,841.6625207277845,6.708508757833681e-05,0.0,0.0,0.0,0.0,1.0,237.46069485096692,237.46069485096692,1.892691086768972e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,148.12695367127984,2814.412119754317,0.00022432397651732356,25.0,5325.799824957832,213.03199299831329,12546193.962182067,0.00042449525657034835
BD201800000059,3.0,624.8862879610487,1874.6588638831458,0.00014942052303142073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,787.4341055835849,787.4341055835849,6.276278750010078e-05,0.0,0.0,0.0,0.0,4.0,2662.0929694667307,665.5232423666827,12546193.96218373,0.00021218331053152152
BD201800000060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,171.9149246461754,343.8298492923508,2.740511188721455e-05,2.0,343.8298492923508,171.9149246461754,12546193.962184096,2.740511188721455e-05
BD201800000061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2875.6542106630586,2875.6542106630586,0.0002292053047586119,0.0,0.0,0.0,0.0,2.0,265.7528598584813,531.5057197169626,4.236390106186725e-05,1.0,1168.3791442011886,1168.3791442011886,9.312618214917137e-05,1.0,6196.806765890644,6196.806765890644,0.0004939192542829048,10.0,123.40367045030885,1234.0367045030885,9.835944735292963e-05,15.0,12006.382544974944,800.4255029983295,12546193.962184079,0.0009569740896054851
BD201800000062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12546193.962184004,0.0
BD201800000063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,147.31091055338743,12226.805575931157,0.0009745430058537866,83.0,12226.805575931157,147.31091055338743,12546193.962183727,0.0009745430058537866
BD201800000064,4.0,729.2676345925601,2917.0705383702402,0.00023250641167851672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2917.0705383702402,729.2676345925601,12546193.962184716,0.00023250641167851672
BD201800000065,5.0,801.6635245762278,4008.317622881139,0.0003194847485191531,0.0,0.0,0.0,0.0,3.0,657.4720278965093,1972.4160836895278,0.00015721230594987906,0.0,0.0,0.0,0.0,1.0,1030.7329050132219,1030.7329050132219,8.215502710383147e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,129.29724660909793,16937.939305791828,0.0013500460264558353,140.0,23949.405917375716,171.06718512411226,12546193.962184835,0.0019088981080286989
BD201800000066,4.0,941.3850402427603,3765.540160971041,0.00030013406235558193,0.0,0.0,0.0,0.0,3.0,657.4720278965093,1972.4160836895278,0.00015721230594990278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,126.86953007872546,15097.47407936833,0.001203350922588597,126.0,20835.4303240289,165.3605581272135,12546193.962182943,0.0016606972908940819
BD201800000067,5.0,801.6635245762278,4008.317622881139,0.00031948474851920786,0.0,0.0,0.0,0.0,3.0,657.4720278965093,1972.4160836895278,0.00015721230594990603,0.0,0.0,0.0,0.0,1.0,1030.7329050132219,1030.7329050132219,8.215502710384555e-05,2.0,153.0307602374283,306.0615204748566,2.4394770350068024e-05,0.0,0.0,0.0,0.0,264.0,119.76928894044651,31619.09228027788,0.0025202138892149767,275.0,38936.620412336626,141.587710590315,12546193.962182684,0.0031034607411380044
BD201800000068,6.0,700.4954786506428,4202.972871903857,0.00033499983218593203,0.0,0.0,0.0,0.0,3.0,657.4720278965093,1972.4160836895278,0.00015721230594988717,0.0,0.0,0.0,0.0,1.0,1030.7329050132219,1030.7329050132219,8.21550271038357e-05,4.0,2410.5412897441547,9642.165158976619,0.0007685330856544479,0.0,0.0,0.0,0.0,417.0,112.98284716546725,47113.847267999845,0.0037552302642543966,431.0,63962.134287583074,148.40402386910225,12546193.962184189,0.0050981305151485
BD201800000069,2.0,231.52617888128697,463.05235776257393,3.69077952372081e-05,0.0,0.0,0.0,0.0,1.0,138.23602821945488,138.23602821945488,1.1018164443824214e-05,0.0,0.0,0.0,0.0,1.0,1030.7329050132219,1030.7329050132219,8.215502710383867e-05,8.0,1308.3234812884014,10466.58785030721,0.0008342440649216172,0.0,0.0,0.0,0.0,364.0,89.80285286041132,32688.238441189722,0.0026054306620571445,376.0,44786.847582492184,119.11395633641538,12546193.962183736,0.003569755713763633
BD201800000070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,518.8014816231473,2075.2059264925892,0.00016540521633473624,0.0,0.0,0.0,0.0,270.0,110.41032846404634,29810.78868529251,0.002376082242562699,274.0,31885.9946117851,116.37224310870474,12546193.962183898,0.002541487458897435
BD201800000071,3.0,221.82481223643958,665.4744367093188,5.304193755613999e-05,0.0,0.0,0.0,0.0,1.0,138.23602821945488,138.23602821945488,1.1018164443825068e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1998.3571839966783,9991.785919983391,0.0007963997647494554,0.0,0.0,0.0,0.0,346.0,91.57576300378739,31685.213999310436,0.0025254841503979026,355.0,42480.7103842226,119.6639729133031,12546193.962182764,0.003385944017147323
BD201800000072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,22.736843969064047,4297.263510153105,5.480244954740276e-05,189.0,4297.263510153105,22.736843969064047,78413712.26364762,5.480244954740276e-05
BD201800000073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78413712.26364811,0.0
BD201800000074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78413712.26364952,0.0
BD201800000075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,665.281499647186,665.281499647186,8.484249507411763e-06,0.0,0.0,0.0,0.0,3.0,597.8149778787284,1793.4449336361854,2.2871572864783315e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,477.6707183097184,23883.535915485918,0.0003045836656117357,54.0,26342.26234876929,487.8196731253572,78413712.26364832,0.0003359394879839308
BD201800000076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78413712.26364718,0.0
BD201800000077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78413712.2636441,0.0
BD201800000078,2.0,2890.536860156705,5781.07372031341,7.37252905572907e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2756.375889695405,2756.375889695405,3.5151707655768744e-05,0.0,0.0,0.0,0.0,3.0,8537.449610008814,2845.816536669605,78413712.26365034,0.00010887699821305943
BD201800000079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78413712.26364703,0.0
