DHSID,lodging_pois_count,other_pois_count,food_pois_count,services_pois_count,entertainment_pois_count,landmark_pois_count,education_pois_count,health_pois_count,retail_pois_count,all_pois_count
BD201800000267,12.0,1.0,73.0,91.0,28.0,3.0,26.0,31.0,44.0,309.0
BD201800000268,11.0,0.0,3.0,5.0,46.0,2.0,8.0,1.0,1.0,77.0
BD201800000269,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0
BD201800000270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000271,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,11.0
BD201800000272,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
BD201800000273,4.0,0.0,0.0,23.0,0.0,2.0,92.0,3.0,10.0,134.0
BD201800000274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BD201800000275,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
BD201800000276,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
BD201800000277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BD201800000279,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,10.0
BD201800000280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000281,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0
BD201800000282,9.0,0.0,41.0,98.0,56.0,5.0,24.0,8.0,67.0,308.0
BD201800000283,0.0,0.0,6.0,10.0,3.0,1.0,4.0,4.0,8.0,36.0
BD201800000284,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BD201800000285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BD201800000286,5.0,0.0,2.0,12.0,1.0,0.0,1.0,0.0,3.0,24.0
BD201800000287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000288,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
BD201800000289,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0
BD201800000290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
