DHSID,education_pois_count,health_pois_count,lodging_pois_count,food_pois_count,services_pois_count,landmark_pois_count,entertainment_pois_count,other_pois_count,retail_pois_count,all_pois_count
NG201800000068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000082,1.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,9.0
NG201800000083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
NG201800000100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000120,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0
NG201800000121,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
NG201800000123,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0
NG201800000124,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,8.0
NG201800000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000128,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,8.0
NG201800000129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000130,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
NG201800000131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
NG201800000134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000140,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,9.0
NG201800000141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
NG201800000145,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000151,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000154,1.0,1.0,1.0,4.0,4.0,0.0,2.0,0.0,0.0,13.0
NG201800000155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000180,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
NG201800000181,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
NG201800000182,2.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0
NG201800000183,2.0,3.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,13.0
NG201800000184,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
NG201800000185,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000186,1.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0
NG201800000187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000188,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,8.0
NG201800000189,0.0,1.0,0.0,1.0,2.0,0.0,39.0,0.0,0.0,43.0
NG201800000190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000192,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
NG201800000193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000196,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
NG201800000197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000199,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000200,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
NG201800000201,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0
NG201800000202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000204,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000207,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000209,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000212,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
NG201800000213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000214,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
NG201800000215,0.0,2.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,72.0
NG201800000216,0.0,3.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,14.0
NG201800000217,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
NG201800000218,1.0,0.0,0.0,1.0,7.0,0.0,10.0,0.0,3.0,22.0
NG201800000219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000220,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,10.0
NG201800000221,1.0,3.0,4.0,9.0,6.0,2.0,14.0,0.0,3.0,42.0
NG201800000222,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0
NG201800000223,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,10.0
NG201800000224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000225,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
NG201800000226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
NG201800000228,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
NG201800000229,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,6.0
NG201800000230,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
NG201800000231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000232,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0
NG201800000233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
