DHSID,commercial_buildings_count,commercial_buildings_totalarea,commercial_buildings_avgarea,commercial_buildings_ratio,damaged_buildings_count,damaged_buildings_totalarea,damaged_buildings_avgarea,damaged_buildings_ratio,education_buildings_count,education_buildings_totalarea,education_buildings_avgarea,education_buildings_ratio,government_buildings_count,government_buildings_totalarea,government_buildings_avgarea,government_buildings_ratio,health_buildings_count,health_buildings_totalarea,health_buildings_avgarea,health_buildings_ratio,industrial_buildings_count,industrial_buildings_totalarea,industrial_buildings_avgarea,industrial_buildings_ratio,other_buildings_count,other_buildings_totalarea,other_buildings_avgarea,other_buildings_ratio,recreational_buildings_count,recreational_buildings_totalarea,recreational_buildings_avgarea,recreational_buildings_ratio,religious_buildings_count,religious_buildings_totalarea,religious_buildings_avgarea,religious_buildings_ratio,residential_buildings_count,residential_buildings_totalarea,residential_buildings_avgarea,residential_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,all_buildings_ratio
NG201800001232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5286.000912911158,5286.000912911158,0.0004213230664888621,12.0,5481.464702368445,456.7887251973704,0.0004369025952325155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3369.886869730915,187.21593720727304,0.00026859833985417333,31.0,14137.352485010517,456.04362854872636,0.001126824001575551
NG201800001233,3.0,10502.202160253579,3500.7340534178597,0.0008370827194214442,0.0,0.0,0.0,0.0,1.0,336.57269895752114,336.57269895752114,2.6826677474619685e-05,1.0,612.1789311914521,612.1789311914521,4.879399545684243e-05,1.0,1049.9061428945092,1049.9061428945092,8.368323860280699e-05,8.0,34429.425912875166,4303.678239109396,0.002744212788089466,7.0,4538.232939146972,648.3189913067102,0.00036172188576280426,0.0,0.0,0.0,0.0,1.0,1339.5676902814762,1339.5676902814762,0.00010677084176437585,1.0,86.7774324188328,86.7774324188328,6.916634054948838e-06,23.0,52894.86390801951,2299.776691653022,0.004216008780627309
NG201800001234,9.0,4416.591539800397,490.73239331115525,0.00035202640363387385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,4216.258840265764,145.38823587123323,0.00033605879623528937,4.0,5273.986759321736,1318.496689830434,0.00042036547300468855,0.0,0.0,0.0,0.0,301.0,28294.56717712742,94.00188430939343,0.002255231129250265,343.0,42201.40431651531,123.03616418809129,0.003363681802124116
NG201800001235,1.0,2775.5310148859016,2775.5310148859016,0.0002212249406674125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.60091036437339,89.60091036437339,7.141680627164421e-06,1.0,953.5664916033211,953.5664916033211,7.600444361672873e-05,0.0,0.0,0.0,0.0,25.0,3894.3762087639443,155.77504835055777,0.0003104029971561326,2.0,885.7063914334929,442.8531957167464,7.059562398789384e-05,0.0,0.0,0.0,0.0,234.0,13634.722077323973,58.26804306548706,0.0010867616201711415,264.0,22233.503094375006,84.21781475142048,0.0017721313062264736
NG201800001236,9.0,2671.882882183831,296.8758757982034,0.00021296361990236375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5065.141173214989,241.19719872452328,0.0004037193421751761,9.0,3486.9491797621126,387.4387977513459,0.00027792884362160664,3.0,4847.644783722558,1615.881594574186,0.00038638369519346987,1.0,253.7361024365965,253.7361024365965,2.022414950712527e-05,59.0,19088.537162792007,323.5345281829154,0.0015214603903245824,102.0,35413.89128411209,347.1950125893342,0.002822680040724324
NG201800001237,4.0,537.9911923620265,134.49779809050662,4.2880828559133856e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5478.511065755907,288.34268767136354,0.0004366671743055445,11.0,4106.710359304022,373.3373053912747,0.00032732718557376244,2.0,786.9434910597381,393.47174552986905,6.272368285009261e-05,0.0,0.0,0.0,0.0,46.0,9981.756652749003,216.99470984236964,0.0007956003775197409,82.0,20891.9127612307,254.77942391744753,0.0016651992488082744
NG201800001238,5.0,3187.520175562729,637.5040351125458,0.00025406272094712865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,259.19547423829687,259.19547423829687,2.0659291177831527e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3547.055193699631,295.5879328083026,0.00028271962033993346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2873.031080207494,410.43301145821346,0.00022899622697268774,25.0,9866.801923708152,394.6720769483261,0.0007864378594375814
NG201800001239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,282.9365554862461,282.9365554862461,2.255158467492753e-05,8.0,1762.19926202878,220.2749077535975,0.00014045688017739604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1653.908988107191,826.9544940535955,0.00013182555547063674,11.0,3699.0448056222167,336.2768005111106,0.0002948340203229603
NG201800001240,1.0,31.495298833270876,31.495298833270876,2.5103468771647395e-06,0.0,0.0,0.0,0.0,2.0,1067.2030716876102,533.6015358438051,8.506189804687695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2604.0685570630626,434.0114261771771,0.00020755844879428474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2736.7619683161183,390.9659954737312,0.00021813483647432666,16.0,6439.528895900062,402.47055599375386,0.0005132655301926531
NG201800001241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1067.2030716876102,533.6015358438051,8.506189804687633e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,86759.30292481378,303.3542060308174,0.00691518903552107,288.0,87826.50599650138,304.95314582118533,0.007000250933567946
NG201800001242,2.0,659.4824335221047,329.7412167610523,5.256434226267347e-05,0.0,0.0,0.0,0.0,2.0,701.3060003854189,350.65300019270944,5.5897908361633664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1702.382291195339,141.8651909329449,0.00013568914176893945,0.0,0.0,0.0,0.0,5.0,1439.6402150262777,287.9280430052555,0.00011474716709829336,296.0,94149.04300091608,318.0710912193111,0.00750419157273495,317.0,98651.85394104522,311.20458656481145,0.00786309013222649
NG201800001243,2.0,659.4824335221047,329.7412167610523,5.2564342262671973e-05,0.0,0.0,0.0,0.0,2.0,701.3060003854189,350.65300019270944,5.589790836163207e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3469.7360346682253,247.83828819058752,0.0002765568621947436,0.0,0.0,0.0,0.0,5.0,1439.6402150262777,287.9280430052555,0.0001147471670982901,123.0,35658.93276862974,289.9100225091849,0.002842211181822232,146.0,41929.09745223177,287.18559898788885,0.00334197746173957
NG201800001244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,582.0140189247315,145.5035047311829,4.638968763586961e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,20241.564146707526,285.09245277052855,0.0016133629216732235,75.0,20823.578165632258,277.6477088750968,0.0016597526093090932
NG201800001245,14.0,24384.89547961337,1741.7782485438122,0.0019436089983236296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1012.2911212427218,506.1455606213609,8.068511648185525e-05,0.0,0.0,0.0,0.0,64.0,11270.131224170756,176.09580037766807,0.0008982908488535253,0.0,0.0,0.0,0.0,9.0,7351.082455143139,816.7869394603488,0.0005859213142488196,73.0,47547.51116103108,651.3357693291929,0.003789795638768859,162.0,91565.91144120105,565.2216755629695,0.007298301916676688
NG201800001246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800001247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800001248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1963.9835101134818,130.93223400756546,2.5046429424359357e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,95883.54287809854,213.07453972910787,0.0012227905057690962,465.0,97847.52638821202,210.42478793163875,0.0012478369351934554
NG201800001249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
