run_id,name,version,parent,group,model_name,model_type,project,gender_classification,gender,classification,aic,bic,centered_tss,condition_number,df_model,df_resid,ess,f_pvalue,fvalue,llf,mse_model,mse_resid,mse_total,rsquared,rsquared_adj,scale,ssr,uncentered_tss
4ac1c7305f474968af793ac8fce50f8d,GH_2014_DHS_small_all - sub-geo - OLS,1.6.1,self,eqai,sub-geo,OLS,GH_2014_DHS_small_all,small_all,all,small,10200.984312906712,10261.694895592407,2840540390408.0947,13385468.521233352,14.0,408.0,2154381343233.4644,2.9183585984327077e-116,91.50185802492311,-5085.492156453356,153884381659.53317,1681762370.5260546,6731138365.895959,0.7584406652017185,0.7501518644978559,1681762370.5260546,686159047174.6302,2840540680161.737
f57ff566b1234b80970838d18abd6576,GH_2014_DHS_small_all - all-geo - OLS,1.6.1,self,eqai,all-geo,OLS,GH_2014_DHS_small_all,small_all,all,small,10109.82095513492,10227.194748327262,2840540390408.0947,1.3753295852977618e+16,28.0,394.0,2322838599947.5195,2.8450804190759614e-127,63.13607185526589,-5025.91047756746,82958521426.69713,1313963935.1791244,6731138365.895959,0.8177453162754719,0.8047932067722059,1313963935.1791244,517701790460.575,2840540680161.737
0b872a11d3d743cdbfe9e9d044b8844f,GH_2014_DHS_small_all - loc - OLS,1.6.1,self,eqai,loc,OLS,GH_2014_DHS_small_all,small_all,all,small,10594.230466557645,10606.372583094784,2840540390408.0947,30.602615185573406,2.0,420.0,1000565922429.1467,2.490426941868215e-40,114.19660835887474,-5294.115233278822,500282961214.57336,4380891590.426066,6731138365.895959,0.352244919948277,0.34916037194803073,4380891590.426066,1839974467978.948,2840540680161.737
d2a6aaa423324422bfaef1ec164a5f7b,GH_2014_DHS_small_all - ntl - OLS,1.6.1,self,eqai,ntl,OLS,GH_2014_DHS_small_all,small_all,all,small,10501.934457277892,10526.218690352169,2840540390408.0947,1839.6349308186127,5.0,417.0,1382091564524.6052,3.389292263556475e-58,79.03358310259993,-5244.967228638946,276418312904.921,3497479198.761366,6731138365.895959,0.486559377642239,0.48040301526384865,3497479198.761366,1458448825883.4895,2840540680161.737
f56ccea5a541478391ac0043c9af7f5e,GH_2014_DHS_medium_all - sub-geo - OLS,1.6.1,self,eqai,sub-geo,OLS,GH_2014_DHS_medium_all,medium_all,all,medium,10155.629930580057,10216.340513265752,2762166491395.3384,13385468.521233352,14.0,408.0,2145771063464.1714,3.211441608903445e-123,101.45094647067394,-5062.814965290028,153269361676.01224,1510773107.6744292,6545418226.055305,0.7768434922907966,0.7691861611439121,1510773107.6744292,616395427931.1671,2763321293557.035
492aabfae2ea47a7923fa6876f478309,GH_2014_DHS_medium_all - all-geo - OLS,1.6.1,self,eqai,all-geo,OLS,GH_2014_DHS_medium_all,medium_all,all,medium,10034.526641594213,10151.900434786556,2762166491395.3384,1.3753295852977618e+16,28.0,394.0,2328880221408.116,6.171615980117954e-140,75.63284128048531,-4988.263320797107,83174293621.71843,1099711345.1452334,6545418226.055305,0.8431353535940034,0.8319876122250494,1099711345.1452334,433286269987.2219,2763321293557.035
bdc2e8af8952437d8aa128b5fd693969,GH_2014_DHS_medium_all - loc - OLS,1.6.1,self,eqai,loc,OLS,GH_2014_DHS_medium_all,medium_all,all,medium,10587.597462736789,10599.739579273928,2762166491395.3384,30.602615185573406,2.0,420.0,950819368340.4595,3.295224270718268e-39,110.23401578309569,-5290.798731368394,475409684170.22974,4312731245.368759,6545418226.055305,0.3442295644750012,0.3411068481153584,4312731245.368759,1811347123054.879,2763321293557.035
4e043d2aed2343659c08de498183bff1,GH_2014_DHS_medium_all - ntl - OLS,1.6.1,self,eqai,ntl,OLS,GH_2014_DHS_medium_all,medium_all,all,medium,10467.915731295228,10492.199964369505,2762166491395.3384,1839.6349308186127,5.0,417.0,1416417266029.3438,6.534428990434009e-63,87.77950435358449,-5227.957865647614,283283453205.8688,3227216367.7841597,6545418226.055305,0.5127921399530936,0.5069503190892218,3227216367.7841597,1345749225365.9946,2763321293557.035
6bb94918ca5c48bbb3bf5e40e838fc1d,GH_2014_DHS - sub-geo - OLS,1.6.1,self,eqai,sub-geo,OLS,GH_2014_DHS,all, all,all,10126.645191091608,10187.355773777303,2686696022396.748,13385468.521233352,14.0,408.0,2111122575208.2036,8.315808822650472e-127,106.89190740273933,-5048.322595545804,150794469657.72882,1410719233.3052557,6366578252.124995,0.7857690477856566,0.7784179856998703,1410719233.3052557,575573447188.5443,2687824955279.374
047e50f3b5734465be572938591cbdb3,GH_2014_DHS - all-geo - OLS,1.6.1,self,eqai,all-geo,OLS,GH_2014_DHS,all, all,all,9984.002528430376,10101.376321622718,2686696022396.748,1.3753295852977618e+16,28.0,394.0,2302191214459.2163,1.0773136538791688e-147,84.25153226509535,-4963.001264215188,82221114802.11487,975900527.7602333,6366578252.124995,0.8568856302565547,0.8467150659093048,975900527.7602333,384504807937.5319,2687824955279.374
59484d0804be405184f542297b60c47a,GH_2014_DHS - loc - OLS,1.6.1,self,eqai,loc,OLS,GH_2014_DHS,all, all,all,10568.025491900442,10580.167608437581,2686696022396.748,30.602615185573406,2.0,420.0,957249547287.6147,6.677356495839368e-41,116.23511211453594,-5281.012745950221,478624773643.8074,4117729702.640794,6366578252.124995,0.35629246453927876,0.35322719056089436,4117729702.640794,1729446475109.1333,2687824955279.374
9c3e669a586c459bacc0ecaea05aa250,GH_2014_DHS - ntl - OLS,1.6.1,self,eqai,ntl,OLS,GH_2014_DHS,all, all,all,10455.221266125347,10479.505499199624,2686696022396.748,1839.6349308186127,5.0,417.0,1380733483121.3403,4.052115098107069e-63,88.17494302417792,-5221.6106330626735,276146696624.26807,3131804650.540546,6366578252.124995,0.5139150360187066,0.5080866791364369,3131804650.540546,1305962539275.4077,2687824955279.374
633c9771b21048fb86b49533516f9f69,GH_2014_DHS - sub-geo - OLS,1.6.0,self,eqai,sub-geo,OLS,GH_2014_DHS,all, all,all,10126.645191091608,10187.355773777303,2686696022396.748,13385468.521233352,14.0,408.0,2111122575208.2036,8.315808822650472e-127,106.89190740273933,-5048.322595545804,150794469657.72882,1410719233.3052557,6366578252.124995,0.7857690477856566,0.7784179856998703,1410719233.3052557,575573447188.5443,2687824955279.374
d49d4f8482dc4f768d31f387d792c3dc,GH_2014_DHS - all-geo - OLS,1.6.0,self,eqai,all-geo,OLS,GH_2014_DHS,all, all,all,9984.002528430376,10101.376321622718,2686696022396.748,1.3753295852977618e+16,28.0,394.0,2302191214459.2163,1.0773136538791688e-147,84.25153226509535,-4963.001264215188,82221114802.11487,975900527.7602333,6366578252.124995,0.8568856302565547,0.8467150659093048,975900527.7602333,384504807937.5319,2687824955279.374
846bc9f21f6448d7bacd119c39675064,GH_2014_DHS - loc - OLS,1.6.0,self,eqai,loc,OLS,GH_2014_DHS,all, all,all,10568.025491900442,10580.167608437581,2686696022396.748,30.602615185573406,2.0,420.0,957249547287.6147,6.677356495839368e-41,116.23511211453594,-5281.012745950221,478624773643.8074,4117729702.640794,6366578252.124995,0.35629246453927876,0.35322719056089436,4117729702.640794,1729446475109.1333,2687824955279.374
1455e4890408471787f07ba19076ba98,GH_2014_DHS - ntl - OLS,1.6.0,self,eqai,ntl,OLS,GH_2014_DHS,all, all,all,10455.221266125347,10479.505499199624,2686696022396.748,1839.6349308186127,5.0,417.0,1380733483121.3403,4.052115098107069e-63,88.17494302417792,-5221.6106330626735,276146696624.26807,3131804650.540546,6366578252.124995,0.5139150360187066,0.5080866791364369,3131804650.540546,1305962539275.4077,2687824955279.374
aabc8e157e2647ea808612411bbbb72f,GH_2014_DHS_hoheq_female - sub-geo - OLS,1.5.0,self,eqai,sub-geo,OLS,GH_2014_DHS_hoheq_female,hoheq_female,female,hoheq,10000.836879618573,10061.333172945555,2107963213629.3975,13325214.969414625,14.0,402.0,1516367712821.8772,1.713824224321869e-101,73.5999778471132,-4985.418439809287,108311979487.27695,1471630599.0236824,5067219263.532206,0.71935207550945,0.7095782671938587,1471630599.0236824,591595500807.5203,2108014922579.5278
da48430ec15b47109274c6a5e046a338,GH_2014_DHS_hoheq_female - all-geo - OLS,1.5.0,self,eqai,all-geo,OLS,GH_2014_DHS_hoheq_female,hoheq_female,female,hoheq,9909.50120251429,10026.460702946455,2107963213629.3975,1.3735359631673796e+16,28.0,388.0,1663598149111.865,4.4627915611032894e-113,51.8778793606355,-4925.750601257145,59414219611.13804,1145270784.8390012,5067219263.532206,0.7891969548403814,0.7739843639525739,1145270784.8390012,444365064517.5325,2108014922579.5278
06c8ac8c0a914a3da95fbc84fda5e2c1,GH_2014_DHS_hoheq_female - loc - OLS,1.5.0,self,eqai,loc,OLS,GH_2014_DHS_hoheq_female,hoheq_female,female,hoheq,10376.302272351582,10388.401531016978,2107963213629.3975,30.477319264779865,2.0,414.0,566058577748.8638,7.731410074716498e-29,75.9931080478919,-5185.151136175791,283029288874.4319,3724407333.0447674,5067219263.532206,0.26853342320630413,0.26499976824594806,3724407333.0447674,1541904635880.5337,2108014922579.5278
6f67048ebc97472d88c65b02c8d8285b,GH_2014_DHS_hoheq_female - ntl - OLS,1.5.0,self,eqai,ntl,OLS,GH_2014_DHS_hoheq_female,hoheq_female,female,hoheq,10211.988626138049,10236.187143468842,2107963213629.3975,1838.7334096500983,5.0,411.0,1083065907233.7401,3.627947126596705e-62,86.86530544968039,-5099.994313069024,216613181446.74802,2493667412.154884,5067219263.532206,0.5137973472359441,0.5078824731147268,2493667412.154884,1024897306395.6573,2108014922579.5278
85b7a9f7ebbb4c26b01e57b3ecdd66f0,GH_2014_DHS_hoheq_male - sub-geo - OLS,1.5.0,self,eqai,sub-geo,OLS,GH_2014_DHS_hoheq_male,hoheq_male,male,hoheq,10078.92890563052,10139.425198957502,2997073985765.7305,13325214.969414625,14.0,402.0,2283636960522.619,1.024827339677806e-115,91.91141170421425,-5024.46445281526,163116925751.61566,1774718968.266446,7204504773.475313,0.7619554843719237,0.7536653768624882,1774718968.266446,713437025243.1113,3009700503198.4067
c454c7d2437e41ec8f3b9da68b055786,GH_2014_DHS_hoheq_male - all-geo - OLS,1.5.0,self,eqai,all-geo,OLS,GH_2014_DHS_hoheq_male,hoheq_male,male,hoheq,9961.26985409185,10078.229354524015,2997073985765.7305,1.3735359631673796e+16,28.0,388.0,2493972510719.9272,5.709061147258425e-132,68.69257014141519,-4951.634927045925,89070446811.42598,1296653286.2005239,7204504773.475313,0.8321357839562094,0.8200218714582038,1296653286.2005239,503101475045.8033,3009700503198.4067
20eaae67a1ab4270815d26a120c82ee6,GH_2014_DHS_hoheq_male - loc - OLS,1.5.0,self,eqai,loc,OLS,GH_2014_DHS_hoheq_male,hoheq_male,male,hoheq,10466.673580455274,10478.77283912067,2997073985765.7305,30.477319264779865,2.0,414.0,1082038421209.6611,5.422899995122227e-41,116.95968332698921,-5230.336790227637,541019210604.83057,4625689769.459105,7204504773.475313,0.3610316016049928,0.35794479774801213,4625689769.459105,1915035564556.0693,3009700503198.4067
259afccbc7cb43b789d802fbe18c7ed2,GH_2014_DHS_hoheq_male - ntl - OLS,1.5.0,self,eqai,ntl,OLS,GH_2014_DHS_hoheq_male,hoheq_male,male,hoheq,10383.23743382467,10407.435951155463,2997073985765.7305,1838.7334096500983,5.0,411.0,1451707604438.81,5.824971823934589e-57,77.21817073722532,-5185.618716912335,290341520887.762,3760015526.342872,7204504773.475313,0.48437496415955494,0.47810215350456164,3760015526.342872,1545366381326.9204,3009700503198.4067
b4fe79259f554d7286b06ae16f6e0452,GH_2014_DHS_hoh_female - sub-geo - OLS,1.5.0,self,eqai,sub-geo,OLS,GH_2014_DHS_hoh_female,hoh_female,female,hoh,10000.812834464507,10061.309127791488,2104545751205.4976,13325214.969414625,14.0,402.0,1512984362136.2202,2.338767835022033e-101,73.43999466222436,-4985.406417232253,108070311581.15858,1471545743.953426,5059004209.6286,0.7189125545356156,0.709123439519443,1471545743.953426,591561389069.2772,2104658655559.9062
a9df07a57cdd4c9c9d28c92da313653b,GH_2014_DHS_hoh_female - all-geo - OLS,1.5.0,self,eqai,all-geo,OLS,GH_2014_DHS_hoh_female,hoh_female,female,hoh,9907.894730001624,10024.85423043379,2104545751205.4976,1.3735359631673796e+16,28.0,388.0,1661889288533.5176,2.917861973609157e-113,52.02462682902152,-4924.947365000812,59353188876.19706,1140867171.8350003,5059004209.6286,0.7896665052691663,0.7744877994638484,1140867171.8350003,442656462671.9801,2104658655559.9062
dadd5e955d5540f783a2838ef491e271,GH_2014_DHS_hoh_female - loc - OLS,1.5.0,self,eqai,loc,OLS,GH_2014_DHS_hoh_female,hoh_female,female,hoh,10374.54706928558,10386.646327950975,2104545751205.4976,30.477319264779865,2.0,414.0,569117537481.1448,4.5261302463648963e-29,76.72604241968573,-5184.27353464279,284558768740.5724,3708763801.2665524,5059004209.6286,0.27042298185019287,0.26689845519246436,3708763801.2665524,1535428213724.3528,2104658655559.9062
