type,group
primary_link,links
secondary_link,links
tertiary_link,links
trunk_link,links
motorway_link,links
trunk,major
tertiary,major
motorway,major
primary,major
secondary,major
pedestrian,minor
unclassified,minor
living_street,minor
residential,minor
bridleway,nocars
footway,nocars
cycleway,nocars
path,nocars
steps,nocars
track,small
track_grade1,small
track_grade4,small
track_grade2,small
track_grade5,small
track_grade3,small
service,small
unknown,unknown
