DHSID,landmark_pois_count,other_pois_count,retail_pois_count,services_pois_count,lodging_pois_count,entertainment_pois_count,food_pois_count,health_pois_count,education_pois_count,all_pois_count
GH201400000058,0.0,0.0,4.0,26.0,3.0,10.0,11.0,5.0,7.0,66.0
GH201400000059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000060,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,7.0
GH201400000061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0
GH201400000062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GH201400000063,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,8.0,13.0
GH201400000064,0.0,0.0,2.0,6.0,1.0,2.0,1.0,1.0,6.0,19.0
GH201400000065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GH201400000066,3.0,0.0,63.0,167.0,6.0,8.0,30.0,15.0,23.0,315.0
GH201400000067,1.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,5.0,16.0
GH201400000068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000069,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,16.0
GH201400000070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000072,1.0,0.0,1.0,10.0,11.0,2.0,2.0,0.0,4.0,31.0
GH201400000073,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,11.0
GH201400000074,0.0,0.0,4.0,25.0,6.0,11.0,11.0,5.0,11.0,73.0
GH201400000075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000076,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,3.0,10.0
GH201400000077,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,6.0
GH201400000078,0.0,0.0,3.0,7.0,0.0,1.0,0.0,2.0,5.0,18.0
GH201400000079,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0
GH201400000080,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
GH201400000081,3.0,0.0,12.0,47.0,8.0,10.0,21.0,13.0,20.0,134.0
GH201400000082,0.0,0.0,5.0,18.0,5.0,8.0,9.0,4.0,17.0,66.0
GH201400000083,13.0,0.0,1613.0,1082.0,47.0,41.0,408.0,100.0,116.0,3420.0
GH201400000084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000085,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
GH201400000086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
GH201400000087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000088,11.0,0.0,430.0,435.0,48.0,36.0,239.0,59.0,96.0,1354.0
GH201400000089,3.0,0.0,20.0,51.0,7.0,8.0,9.0,8.0,11.0,117.0
GH201400000090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GH201400000092,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0
GH201400000093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000094,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
GH201400000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000096,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
GH201400000097,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,8.0
GH201400000098,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
GH201400000099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000100,0.0,0.0,28.0,84.0,29.0,75.0,100.0,30.0,31.0,377.0
GH201400000101,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,12.0,18.0
GH201400000102,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,2.0,12.0
GH201400000103,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0
GH201400000104,1.0,0.0,7.0,29.0,7.0,29.0,7.0,4.0,15.0,99.0
GH201400000105,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,7.0
GH201400000106,1.0,0.0,1.0,8.0,9.0,1.0,2.0,0.0,5.0,27.0
GH201400000107,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,3.0,11.0
GH201400000108,0.0,0.0,4.0,10.0,27.0,15.0,8.0,3.0,5.0,72.0
GH201400000109,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
GH201400000110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000112,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,10.0
GH201400000113,1.0,0.0,9.0,25.0,8.0,8.0,22.0,12.0,15.0,100.0
GH201400000114,2.0,0.0,1.0,14.0,11.0,26.0,7.0,4.0,7.0,72.0
GH201400000115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000116,0.0,0.0,2.0,11.0,0.0,1.0,0.0,1.0,4.0,19.0
GH201400000117,0.0,0.0,3.0,0.0,1.0,4.0,4.0,7.0,3.0,22.0
GH201400000118,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,7.0
GH201400000119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000120,2.0,0.0,11.0,55.0,8.0,6.0,17.0,11.0,11.0,121.0
GH201400000121,2.0,0.0,14.0,56.0,51.0,23.0,37.0,18.0,34.0,235.0
GH201400000122,0.0,0.0,3.0,15.0,8.0,45.0,8.0,7.0,7.0,93.0
GH201400000124,1.0,0.0,2.0,3.0,1.0,2.0,9.0,1.0,3.0,22.0
GH201400000125,1.0,0.0,1.0,7.0,2.0,2.0,2.0,3.0,9.0,27.0
GH201400000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000127,1.0,0.0,30.0,70.0,9.0,22.0,46.0,18.0,34.0,230.0
