DHSID,lodging_pois_count,education_pois_count,landmark_pois_count,health_pois_count,food_pois_count,entertainment_pois_count,services_pois_count,retail_pois_count,all_pois_count
ML201800000351,6.0,44.0,1.0,22.0,47.0,53.0,72.0,52.0,297.0
ML201800000352,15.0,109.0,26.0,44.0,82.0,59.0,168.0,86.0,589.0
ML201800000353,24.0,86.0,30.0,34.0,97.0,142.0,205.0,98.0,716.0
ML201800000354,19.0,107.0,30.0,48.0,88.0,98.0,221.0,98.0,709.0
ML201800000355,18.0,99.0,28.0,44.0,106.0,92.0,226.0,98.0,711.0
ML201800000356,4.0,40.0,5.0,9.0,5.0,19.0,16.0,11.0,109.0
ML201800000357,2.0,42.0,1.0,16.0,14.0,18.0,41.0,36.0,170.0
ML201800000358,12.0,88.0,2.0,25.0,22.0,22.0,71.0,58.0,300.0
ML201800000359,19.0,142.0,4.0,32.0,32.0,46.0,108.0,57.0,440.0
ML201800000360,28.0,204.0,6.0,32.0,52.0,63.0,134.0,87.0,606.0
ML201800000361,27.0,92.0,5.0,45.0,59.0,192.0,150.0,120.0,690.0
ML201800000362,19.0,162.0,9.0,36.0,42.0,148.0,139.0,74.0,629.0
ML201800000363,18.0,204.0,7.0,35.0,47.0,74.0,142.0,93.0,620.0
ML201800000364,24.0,181.0,6.0,27.0,38.0,53.0,119.0,69.0,517.0
ML201800000365,23.0,128.0,3.0,25.0,44.0,88.0,90.0,73.0,474.0
ML201800000366,22.0,100.0,1.0,21.0,47.0,111.0,79.0,60.0,441.0
ML201800000367,26.0,114.0,6.0,29.0,76.0,376.0,132.0,91.0,850.0
ML201800000368,3.0,19.0,1.0,8.0,5.0,16.0,21.0,13.0,86.0
ML201800000369,9.0,50.0,3.0,26.0,18.0,23.0,77.0,49.0,255.0
ML201800000370,9.0,46.0,2.0,17.0,15.0,23.0,51.0,29.0,192.0
ML201800000371,17.0,84.0,4.0,23.0,36.0,193.0,106.0,67.0,530.0
ML201800000372,20.0,84.0,4.0,36.0,38.0,195.0,119.0,101.0,597.0
ML201800000373,18.0,141.0,9.0,32.0,42.0,75.0,146.0,60.0,523.0
ML201800000374,17.0,84.0,4.0,22.0,18.0,35.0,85.0,36.0,301.0
ML201800000375,13.0,27.0,5.0,24.0,30.0,43.0,76.0,49.0,267.0
ML201800000376,23.0,53.0,4.0,43.0,40.0,58.0,106.0,93.0,420.0
ML201800000377,11.0,62.0,4.0,29.0,24.0,38.0,101.0,70.0,339.0
ML201800000378,13.0,51.0,2.0,31.0,20.0,25.0,77.0,36.0,255.0
ML201800000379,2.0,6.0,1.0,5.0,2.0,11.0,7.0,4.0,38.0
